time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306828,-0.000206,0.486804,0.306823,-0.000206,0.486804,0.306823,-0.000207,0.486806,-0.000005,0.000000,0.000000,-0.000006,-0.000006,-0.000006,0.001027,-0.001061,0.000346,0.000000,0.000000,0.000000,0.003766,-0.002016,0.000952,-0.021163,0.021225,-0.006930,-0.021163,0.021225,-0.006930,-0.015088,0.006032,-0.002881,-0.015088,0.006032,-0.002881,0.003621,0.004931,0.015545,-0.012039,-0.010628,-0.011094,0.002877,0.003621,0.004931,0.015545,-0.012039,-0.010628,-0.011094,0.002877
0.001000,0.306831,-0.000206,0.486803,0.306823,-0.000206,0.486803,0.306823,-0.000207,0.486806,-0.000008,0.000000,0.000000,-0.000004,-0.000009,-0.000001,0.001002,-0.000127,0.000357,0.000000,0.000000,0.000000,0.001052,-0.001178,0.000455,-0.020978,0.002548,-0.007131,-0.020978,0.002548,-0.007131,-0.004224,0.003507,-0.001368,-0.004224,0.003507,-0.001368,-0.000593,0.002480,0.002851,-0.009564,-0.003691,-0.008548,0.001367,-0.000593,0.002480,0.002851,-0.009564,-0.003691,-0.008548,0.001367
0.002000,0.306833,-0.000208,0.486801,0.306823,-0.000208,0.486801,0.306823,-0.000207,0.486806,-0.000009,0.000000,0.000000,-0.000005,-0.000021,-0.000001,0.000958,0.000115,-0.000750,0.000000,0.000000,0.000000,0.001436,0.002953,0.002899,-0.020285,-0.002296,0.015001,-0.020285,-0.002296,0.015001,-0.005765,-0.008922,-0.008701,-0.005765,-0.008922,-0.008701,-0.009408,-0.016628,-0.002803,0.013391,-0.006246,0.005973,0.008702,-0.009408,-0.016628,-0.002803,0.013391,-0.006246,0.005973,0.008702
0.003000,0.306834,-0.000210,0.486801,0.306823,-0.000210,0.486801,0.306823,-0.000207,0.486806,-0.000011,0.000000,0.000000,-0.000008,-0.000025,0.000009,0.001173,-0.001342,0.001081,0.000000,0.000000,0.000000,-0.001403,-0.000107,-0.001323,-0.024773,0.026847,-0.021624,-0.024773,0.026847,-0.021624,0.005579,0.000245,0.004005,0.005579,0.000245,0.004005,0.012228,0.003083,0.007611,-0.013645,0.011223,-0.007365,-0.004005,0.012228,0.003083,0.007611,-0.013645,0.011223,-0.007365,-0.004005
0.004000,0.306835,-0.000210,0.486798,0.306823,-0.000210,0.486798,0.306823,-0.000207,0.486806,-0.000012,0.000000,0.000000,0.000002,-0.000035,0.000003,0.001173,-0.001038,0.000268,0.000000,0.000000,0.000000,-0.002073,0.001912,-0.000247,-0.024891,0.020759,-0.005360,-0.024891,0.020759,-0.005360,0.008301,-0.005841,0.000754,0.008301,-0.005841,0.000754,0.007114,-0.008005,0.001395,0.000102,0.012667,0.000126,-0.000752,0.007114,-0.008005,0.001395,0.000102,0.012667,0.000126,-0.000752
0.005000,0.306836,-0.000213,0.486795,0.306823,-0.000213,0.486795,0.306823,-0.000207,0.486806,-0.000012,0.000000,0.000000,0.000003,-0.000038,0.000015,0.001094,-0.001315,-0.000446,0.000000,0.000000,0.000000,-0.000086,0.002204,-0.002949,-0.023371,0.026305,0.008912,-0.023371,0.026305,0.008912,0.000354,-0.006726,0.008909,0.000354,-0.006726,0.008909,0.016969,-0.013051,0.014586,0.007923,0.005886,0.002591,-0.008908,0.016969,-0.013051,0.014586,0.007923,0.005886,0.002591,-0.008908
0.006000,0.306835,-0.000214,0.486792,0.306823,-0.000214,0.486792,0.306823,-0.000207,0.486806,-0.000012,0.000000,0.000000,0.000004,-0.000038,0.000017,-0.000152,-0.001178,0.001528,0.000000,0.000000,0.000000,0.000002,-0.005495,-0.002435,0.001645,0.023552,-0.030550,0.001645,0.023552,-0.030550,0.000008,0.016372,0.007374,0.000008,0.016372,0.007374,0.014604,0.025988,0.012893,-0.030593,0.004958,-0.018718,-0.007378,0.014604,0.025988,0.012893,-0.030593,0.004958,-0.018718,-0.007378
0.007000,0.306835,-0.000213,0.486791,0.306823,-0.000213,0.486791,0.306823,-0.000207,0.486806,-0.000012,0.000000,0.000000,0.000009,-0.000031,0.000010,0.000203,-0.000449,0.001517,0.000000,0.000000,0.000000,-0.001665,-0.010886,-0.000339,-0.005481,0.008983,-0.030339,-0.005481,0.008983,-0.030339,0.006696,0.032563,0.001059,0.006696,0.032563,0.001059,0.003816,0.041035,-0.001046,-0.047608,0.008574,-0.036393,-0.001066,0.003816,0.041035,-0.001046,-0.047608,0.008574,-0.036393,-0.001066
0.008000,0.306833,-0.000214,0.486787,0.306823,-0.000214,0.486787,0.306823,-0.000207,0.486806,-0.000010,0.000000,0.000000,0.000011,-0.000032,0.000016,-0.000222,-0.000781,0.000282,0.000000,0.000000,0.000000,-0.001631,-0.008287,-0.002545,0.003255,0.015628,-0.005637,0.003255,0.015628,-0.005637,0.006567,0.024763,0.007699,0.006567,0.024763,0.007699,0.012497,0.027013,0.005904,-0.027037,0.009845,-0.024579,-0.007703,0.012497,0.027013,0.005904,-0.027037,0.009845,-0.024579,-0.007703
0.009000,0.306831,-0.000213,0.486784,0.306823,-0.000213,0.486784,0.306823,-0.000207,0.486806,-0.000008,0.000000,0.000000,0.000011,-0.000030,0.000010,-0.000948,-0.000414,-0.001192,0.000000,0.000000,0.000000,-0.001161,-0.003804,0.001178,0.018058,0.008270,0.023837,0.018058,0.008270,0.023837,0.004688,0.011321,-0.003496,0.004688,0.011321,-0.003496,-0.000953,0.006812,-0.003081,0.002211,0.006424,-0.005428,0.003494,-0.000953,0.006812,-0.003081,0.002211,0.006424,-0.005428,0.003494
