time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306830,-0.000187,0.486792,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000004,-0.000003,0.000002,-0.000002,-0.000009,-0.000002,0.000608,0.000610,0.000416,0.000000,0.000000,0.000000,-0.001331,0.000735,0.002737,-0.012612,-0.012452,-0.008127,-0.012612,-0.012452,-0.008127,0.005315,-0.002230,-0.008216,0.005315,-0.002230,-0.008216,-0.012036,-0.001672,-0.013619,-0.003225,0.002697,-0.001142,0.008218,-0.012036,-0.001672,-0.013619,-0.003225,0.002697,-0.001142,0.008218
0.001000,0.306830,-0.000186,0.486792,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000004,-0.000004,0.000002,-0.000001,-0.000011,-0.000004,0.000289,0.000690,0.000269,0.000000,0.000000,0.000000,-0.001552,0.001232,0.001422,-0.006278,-0.014186,-0.005212,-0.006278,-0.014186,-0.005212,0.006203,-0.003728,-0.004283,0.006203,-0.003728,-0.004283,-0.008635,-0.003095,-0.012030,0.000463,0.003220,0.001946,0.004284,-0.008635,-0.003095,-0.012030,0.000463,0.003220,0.001946,0.004284
0.002000,0.306831,-0.000186,0.486791,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000005,-0.000003,0.000003,-0.000003,-0.000015,-0.000006,-0.000079,0.000262,-0.002829,0.000000,0.000000,0.000000,-0.000404,0.008356,0.002273,0.001034,-0.005582,0.056851,0.001034,-0.005582,0.056851,0.001602,-0.025112,-0.006846,0.001602,-0.025112,-0.006846,-0.008559,-0.042423,-0.007790,0.052072,0.000433,0.030327,0.006852,-0.008559,-0.042423,-0.007790,0.052072,0.000433,0.030327,0.006852
0.003000,0.306833,-0.000186,0.486790,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,-0.000003,0.000003,-0.000003,-0.000020,-0.000003,0.002278,-0.001134,-0.001109,0.000000,0.000000,0.000000,-0.007442,-0.001631,0.001431,-0.046326,0.022337,0.022521,-0.046326,0.022337,0.022521,0.029753,0.004833,-0.004304,0.029753,0.004833,-0.004304,0.002551,-0.009200,-0.016801,-0.000157,0.034449,-0.012611,0.004306,0.002551,-0.009200,-0.016801,-0.000157,0.034449,-0.012611,0.004306
0.004000,0.306832,-0.000185,0.486789,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000005,-0.000005,0.000004,-0.000004,-0.000020,-0.000004,0.001587,-0.001830,-0.000737,0.000000,0.000000,0.000000,0.000065,-0.001801,-0.001247,-0.032408,0.036137,0.015188,-0.032408,0.036137,0.015188,-0.000274,0.005341,0.003726,-0.000274,0.005341,0.003726,0.014811,-0.004294,0.014609,-0.002349,0.007323,-0.010827,-0.003727,0.014811,-0.004294,0.014609,-0.002349,0.007323,-0.010827,-0.003727
0.005000,0.306832,-0.000187,0.486784,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000005,-0.000003,0.000009,-0.000000,-0.000034,-0.000003,0.001686,-0.001352,-0.000431,0.000000,0.000000,0.000000,0.000069,-0.000513,-0.000103,-0.034375,0.026715,0.009565,-0.034375,0.026715,0.009565,-0.000278,0.001437,0.000298,-0.000278,0.001437,0.000298,0.008485,-0.006774,0.009105,-0.001347,0.005338,-0.007832,-0.000298,0.008485,-0.006774,0.009105,-0.001347,0.005338,-0.007832,-0.000298
0.006000,0.306833,-0.000190,0.486782,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,-0.000000,0.000012,0.000002,-0.000036,0.000006,0.001717,-0.001465,-0.000219,0.000000,0.000000,0.000000,-0.001004,-0.000351,-0.001856,-0.035101,0.029299,0.005541,-0.035101,0.029299,0.005541,0.004024,0.000942,0.005593,0.004024,0.000942,0.005593,0.014572,-0.006145,0.010639,-0.002845,0.010182,-0.007844,-0.005593,0.014572,-0.006145,0.010639,-0.002845,0.010182,-0.007844,-0.005593
0.007000,0.306832,-0.000190,0.486782,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,0.000000,0.000012,0.000007,-0.000030,0.000006,0.001258,-0.001256,0.000152,0.000000,0.000000,0.000000,-0.001899,-0.002523,-0.001375,-0.025843,0.025147,-0.001878,-0.025843,0.025147,-0.001878,0.007627,0.007478,0.004151,0.007627,0.007478,0.004151,0.011860,0.004080,0.005723,-0.011680,0.012912,-0.013084,-0.004152,0.011860,0.004080,0.005723,-0.011680,0.012912,-0.013084,-0.004152
0.008000,0.306832,-0.000191,0.486780,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,0.000001,0.000014,0.000012,-0.000028,0.000007,0.000953,-0.001136,-0.000737,0.000000,0.000000,0.000000,-0.002670,-0.001281,-0.001218,-0.019754,0.022805,0.016150,-0.019754,0.022805,0.016150,0.010727,0.003760,0.003682,0.010727,0.003760,0.003682,0.010676,-0.004237,0.002440,0.001328,0.015521,-0.006499,-0.003681,0.010676,-0.004237,0.002440,0.001328,0.015521,-0.006499,-0.003681
0.009000,0.306832,-0.000191,0.486778,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,0.000002,0.000016,0.000007,-0.000026,0.000008,0.000986,-0.001095,-0.001642,0.000000,0.000000,0.000000,-0.000319,0.000448,-0.001260,-0.020440,0.022061,0.034441,-0.020440,0.022061,0.034441,0.001306,-0.001424,0.003811,0.001306,-0.001424,0.003811,0.010579,-0.015150,0.008957,0.015056,0.005943,0.000152,-0.003811,0.010579,-0.015150,0.008957,0.015056,0.005943,0.000152,-0.003811
0.010000,0.306832,-0.000191,0.486777,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000006,0.000001,0.000016,0.000009,-0.000022,0.000005,0.001502,-0.000585,-0.001122,0.000000,0.000000,0.000000,-0.000726,-0.004068,-0.003392,-0.030776,0.011781,0.024094,-0.030776,0.011781,0.024094,0.002941,0.012138,0.010194,0.002941,0.012138,0.010194,0.013805,-0.000000,0.008963,-0.004706,0.005410,-0.016493,-0.010197,0.013805,-0.000000,0.008963,-0.004706,0.005410,-0.016493,-0.010197
0.011000,0.306830,-0.000192,0.486775,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000003,0.000002,0.000019,0.000012,-0.000027,0.000012,0.000440,-0.000506,-0.001775,0.000000,0.000000,0.000000,-0.000476,-0.000151,-0.004646,-0.009195,0.010305,0.037413,-0.009195,0.010305,0.037413,0.001952,0.000373,0.013985,0.001952,0.000373,0.013985,0.017145,-0.012533,0.011861,0.016106,0.004114,0.000986,-0.013985,0.017145,-0.012533,0.011861,0.016106,0.004114,0.000986,-0.013985
0.012000,0.306829,-0.000192,0.486772,0.306826,-0.000190,0.486794,0.306826,-0.000190,0.486794,-0.000003,0.000002,0.000022,0.000015,-0.000033,0.000009,0.000129,-0.001537,-0.002252,0.000000,0.000000,0.000000,0.001191,0.003319,-0.005645,-0.002939,0.030984,0.047215,-0.002939,0.030984,0.047215,-0.004704,-0.010056,0.016969,-0.004704,-0.010056,0.016969,0.026483,-0.025025,0.025425,0.031957,0.001813,0.013594,-0.016967,0.026483,-0.025025,0.025425,0.031957,0.001813,0.013594,-0.016967
