time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306855,0.000234,0.486665,0.306854,0.000234,0.486665,0.306854,0.000247,0.486665,-0.000001,0.000000,0.000000,-0.000003,-0.000002,0.000029,0.000481,-0.006116,-0.001021,0.000000,0.000000,0.000000,-0.002005,0.003659,-0.008584,-0.009734,0.122326,0.020421,-0.009734,0.122326,0.020421,0.008009,-0.010982,0.025865,0.008009,-0.010982,0.025865,0.057828,-0.019272,0.073093,0.017814,0.048337,0.011753,-0.016881,0.057828,-0.019272,0.073093,0.017814,0.048337,0.011753,-0.016881
0.001000,0.306855,0.000228,0.486668,0.306854,0.000228,0.486668,0.306854,0.000247,0.486665,-0.000001,0.000000,0.000000,-0.000006,0.000007,0.000044,0.000153,-0.006391,0.001046,0.000000,0.000000,0.000000,0.002763,-0.002673,-0.011250,-0.003237,0.127810,-0.020914,-0.003237,0.127810,-0.020914,-0.011075,0.008041,0.033926,-0.011075,0.008041,0.033926,0.064311,0.013550,0.096021,-0.020039,0.031778,-0.009355,-0.026791,0.064311,0.013550,0.096021,-0.020039,0.031778,-0.009355,-0.026791
0.002000,0.306855,0.000224,0.486669,0.306854,0.000224,0.486669,0.306854,0.000247,0.486665,-0.000001,0.000000,0.000000,-0.000008,0.000010,0.000046,-0.000081,-0.005456,0.000152,0.000000,0.000000,0.000000,0.002078,-0.000421,-0.007560,0.001484,0.109110,-0.003045,0.001484,0.109110,-0.003045,-0.008344,0.001291,0.022865,-0.008344,0.001291,0.022865,0.051137,0.002439,0.077279,-0.002591,0.028515,-0.001264,-0.014182,0.051137,0.002439,0.077279,-0.002591,0.028515,-0.001264,-0.014182
0.003000,0.306855,0.000219,0.486670,0.306854,0.000219,0.486670,0.306854,0.000247,0.486665,-0.000001,0.000000,0.000000,-0.000016,0.000009,0.000064,-0.000122,-0.004970,-0.001123,0.000000,0.000000,0.000000,0.006467,0.003815,-0.010010,0.002325,0.099401,0.022467,0.002325,0.099401,0.022467,-0.025932,-0.011416,0.030286,-0.025932,-0.011416,0.030286,0.059648,-0.018078,0.085950,0.022192,0.004723,0.013884,-0.021685,0.059648,-0.018078,0.085950,0.022192,0.004723,0.013884,-0.021685
0.004000,0.306855,0.000217,0.486675,0.306854,0.000217,0.486675,0.306854,0.000247,0.486665,-0.000001,0.000000,0.000000,-0.000024,0.000021,0.000069,-0.000241,-0.004820,0.001614,0.000000,0.000000,0.000000,0.004263,-0.002577,-0.007571,0.004730,0.096400,-0.032288,0.004730,0.096400,-0.032288,-0.017147,0.007795,0.022988,-0.017147,0.007795,0.022988,0.052488,0.017421,0.073997,-0.026936,0.013183,-0.006141,-0.013000,0.052488,0.017421,0.073997,-0.026936,0.013183,-0.006141,-0.013000
0.005000,0.306853,0.000213,0.486673,0.306854,0.000213,0.486673,0.306854,0.000247,0.486665,0.000000,0.000000,0.000000,-0.000043,0.000024,0.000088,-0.000875,-0.004293,0.000353,0.000000,0.000000,0.000000,0.010920,-0.000948,-0.012096,0.017555,0.085851,-0.007065,0.017555,0.085851,-0.007065,-0.043853,0.002915,0.036639,-0.043853,0.002915,0.036639,0.065438,0.008127,0.092737,-0.002801,-0.020303,-0.000683,-0.028679,0.065438,0.008127,0.092737,-0.002801,-0.020303,-0.000683,-0.028679
0.006000,0.306854,0.000213,0.486678,0.306854,0.000213,0.486678,0.306854,0.000247,0.486665,0.000000,0.000000,0.000000,-0.000048,0.000041,0.000088,0.000017,-0.003582,0.003347,0.000000,0.000000,0.000000,0.008945,-0.008653,-0.010827,-0.000301,0.071646,-0.066933,-0.000301,0.071646,-0.066933,-0.035971,0.026083,0.032835,-0.035971,0.026083,0.032835,0.056973,0.045631,0.077679,-0.061855,-0.016908,-0.028809,-0.026642,0.056973,0.045631,0.077679,-0.061855,-0.016908,-0.028809,-0.026642
0.007000,0.306852,0.000208,0.486677,0.306854,0.000208,0.486677,0.306854,0.000247,0.486665,0.000002,0.000000,0.000000,-0.000064,0.000045,0.000098,-0.000740,-0.004931,0.002646,0.000000,0.000000,0.000000,0.010989,-0.009290,-0.012663,0.015086,0.098620,-0.052917,0.015086,0.098620,-0.052917,-0.044212,0.028004,0.038382,-0.044212,0.028004,0.038382,0.071665,0.047257,0.100192,-0.048490,-0.016705,-0.031352,-0.028570,0.071665,0.047257,0.100192,-0.048490,-0.016705,-0.031352,-0.028570
0.008000,0.306851,0.000206,0.486678,0.306854,0.000206,0.486678,0.306854,0.000247,0.486665,0.000003,0.000000,0.000000,-0.000068,0.000057,0.000110,-0.000850,-0.004506,0.002795,0.000000,0.000000,0.000000,0.008893,-0.012048,-0.013589,0.017332,0.090117,-0.055895,0.017332,0.090117,-0.055895,-0.035844,0.036314,0.041207,-0.035844,0.036314,0.041207,0.069266,0.057914,0.091984,-0.053546,-0.011205,-0.042794,-0.035101,0.069266,0.057914,0.091984,-0.053546,-0.011205,-0.042794,-0.035101
0.009000,0.306849,0.000203,0.486683,0.306854,0.000203,0.486683,0.306854,0.000247,0.486665,0.000005,0.000000,0.000000,-0.000075,0.000078,0.000115,-0.001471,-0.002823,0.004223,0.000000,0.000000,0.000000,0.010480,-0.016125,-0.008485,0.030023,0.056470,-0.084457,0.030023,0.056470,-0.084457,-0.042217,0.048607,0.025918,-0.042217,0.048607,0.025918,0.048925,0.081136,0.069562,-0.077633,-0.028333,-0.054848,-0.018193,0.048925,0.081136,0.069562,-0.077633,-0.028333,-0.054848,-0.018193
