time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306894,0.000213,0.486620,0.306893,0.000213,0.486620,0.306893,0.000215,0.486623,-0.000001,0.000000,0.000000,0.000009,-0.000009,0.000003,-0.000176,0.001329,-0.000483,0.000000,0.000000,0.000000,-0.004025,0.004501,0.004055,0.003405,-0.026584,0.009666,0.003405,-0.026584,0.009666,0.016137,-0.013531,-0.012154,0.016137,-0.013531,-0.012154,-0.212058,-0.016007,0.095415,0.018542,0.098216,0.015048,-0.091920,-0.212058,-0.016007,0.095415,0.018542,0.098216,0.015048,-0.091920
0.001000,0.306894,0.000211,0.486619,0.306893,0.000211,0.486619,0.306893,0.000215,0.486623,-0.000001,0.000000,0.000000,0.000013,-0.000012,0.000008,-0.000254,0.000240,-0.000651,0.000000,0.000000,0.000000,-0.004658,0.003572,0.000894,0.004929,-0.004799,0.013011,0.004929,-0.004799,0.013011,0.018682,-0.010751,-0.002649,0.018682,-0.010751,-0.002649,-0.194879,-0.014009,0.106778,0.017542,0.104886,0.012884,-0.100886,-0.194879,-0.014009,0.106778,0.017542,0.104886,0.012884,-0.100886
0.002000,0.306894,0.000210,0.486613,0.306893,0.000210,0.486613,0.306893,0.000215,0.486623,-0.000001,0.000000,0.000000,0.000014,-0.000027,0.000003,-0.001035,0.000314,-0.003687,0.000000,0.000000,0.000000,-0.005064,0.009712,0.002902,0.020622,-0.006276,0.073733,0.020622,-0.006276,0.073733,0.020311,-0.029216,-0.008695,0.020311,-0.029216,-0.008695,-0.200826,-0.048746,0.100492,0.066678,0.105946,0.039987,-0.094543,-0.200826,-0.048746,0.100492,0.066678,0.105946,0.039987,-0.094543
0.003000,0.306896,0.000209,0.486611,0.306893,0.000209,0.486611,0.306893,0.000215,0.486623,-0.000003,0.000000,0.000000,0.000012,-0.000035,0.000007,0.000237,-0.000502,-0.003140,0.000000,0.000000,0.000000,-0.003976,0.009676,-0.000128,-0.005046,0.010035,0.062794,-0.005046,0.010035,0.062794,0.015954,-0.029133,0.000411,0.015954,-0.029133,0.000411,-0.188780,-0.049225,0.116701,0.058122,0.105967,0.033535,-0.104776,-0.188780,-0.049225,0.116701,0.058122,0.105967,0.033535,-0.104776
0.004000,0.306894,0.000211,0.486604,0.306893,0.000211,0.486604,0.306893,0.000215,0.486623,-0.000001,0.000000,0.000000,0.000010,-0.000050,0.000004,-0.000037,-0.000249,-0.003690,0.000000,0.000000,0.000000,-0.003131,0.010827,-0.000551,0.000614,0.004980,0.073798,0.000614,0.004980,0.073798,0.012564,-0.032631,0.001668,0.012564,-0.032631,0.001668,-0.186490,-0.055245,0.116648,0.067540,0.100326,0.039188,-0.104627,-0.186490,-0.055245,0.116648,0.067540,0.100326,0.039188,-0.104627
0.005000,0.306895,0.000215,0.486602,0.306893,0.000215,0.486602,0.306893,0.000215,0.486623,-0.000002,0.000000,0.000000,-0.000001,-0.000048,-0.000001,0.001007,0.002091,-0.001408,0.000000,0.000000,0.000000,-0.004877,0.000581,0.003209,-0.020373,-0.041825,0.028163,-0.020373,-0.041825,0.028163,0.019503,-0.001887,-0.009631,0.019503,-0.001887,-0.009631,-0.207086,-0.013694,0.085231,0.012550,0.095121,0.000022,-0.090571,-0.207086,-0.013694,0.085231,0.012550,0.095121,0.000022,-0.090571
0.006000,0.306896,0.000216,0.486596,0.306893,0.000216,0.486596,0.306893,0.000215,0.486623,-0.000003,0.000000,0.000000,-0.000011,-0.000060,-0.000005,0.001063,0.002340,-0.002373,0.000000,0.000000,0.000000,0.003689,0.002848,0.002809,-0.021657,-0.046804,0.047458,-0.021657,-0.046804,0.047458,-0.014799,-0.008724,-0.008450,-0.014799,-0.008724,-0.008450,-0.206617,-0.026646,0.108166,0.028330,0.059394,0.008272,-0.091293,-0.206617,-0.026646,0.108166,0.028330,0.059394,0.008272,-0.091293
0.007000,0.306897,0.000217,0.486590,0.306893,0.000217,0.486590,0.306893,0.000215,0.486623,-0.000004,0.000000,0.000000,-0.000014,-0.000071,-0.000006,0.000757,0.001530,-0.003276,0.000000,0.000000,0.000000,0.002441,0.004336,0.001200,-0.015637,-0.030605,0.065524,-0.015637,-0.030605,0.065524,-0.009824,-0.013221,-0.003623,-0.009824,-0.013221,-0.003623,-0.194058,-0.035769,0.111513,0.042124,0.066503,0.015623,-0.094618,-0.194058,-0.035769,0.111513,0.042124,0.066503,0.015623,-0.094618
0.008000,0.306897,0.000219,0.486586,0.306893,0.000219,0.486586,0.306893,0.000215,0.486623,-0.000004,0.000000,0.000000,-0.000023,-0.000079,0.000000,0.000219,0.001874,-0.003664,0.000000,0.000000,0.000000,0.003019,0.005735,0.000674,-0.004848,-0.037483,0.073279,-0.004848,-0.037483,0.073279,-0.012167,-0.017440,-0.002021,-0.012167,-0.017440,-0.002021,-0.200499,-0.040734,0.115936,0.051399,0.065428,0.022789,-0.099445,-0.200499,-0.040734,0.115936,0.051399,0.065428,0.022789,-0.099445
0.009000,0.306898,0.000220,0.486585,0.306893,0.000220,0.486585,0.306893,0.000215,0.486623,-0.000005,0.000000,0.000000,-0.000028,-0.000082,-0.000007,0.000272,0.001529,-0.002583,0.000000,0.000000,0.000000,0.001865,0.004464,0.003505,-0.006043,-0.030578,0.051653,-0.006043,-0.030578,0.051653,-0.007572,-0.013639,-0.010543,-0.007572,-0.013639,-0.010543,-0.206951,-0.030457,0.108958,0.037243,0.071507,0.016844,-0.090953,-0.206951,-0.030457,0.108958,0.037243,0.071507,0.016844,-0.090953
