time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306841,0.000153,0.486851,0.306839,0.000153,0.486851,0.306839,0.000155,0.486855,-0.000002,0.000000,0.000000,-0.000001,-0.000008,0.000004,0.000364,-0.001310,-0.000515,0.000000,0.000000,0.000000,0.001151,0.002396,-0.003213,-0.013256,0.026204,0.010293,-0.013256,0.026204,0.010293,-0.004608,-0.007212,0.009655,-0.004608,-0.007212,0.009655,0.017694,-0.012415,0.018607,0.010373,0.000904,0.005324,-0.009658,0.017694,-0.012415,0.018607,0.010373,0.000904,0.005324,-0.009658
0.001000,0.306841,0.000151,0.486850,0.306839,0.000151,0.486850,0.306839,0.000155,0.486855,-0.000002,0.000000,0.000000,-0.000006,-0.000013,0.000007,0.000416,-0.002017,-0.000706,0.000000,0.000000,0.000000,0.004054,0.001954,-0.004986,-0.015043,0.040342,0.014112,-0.015043,0.040342,0.014112,-0.016240,-0.005901,0.014985,-0.016240,-0.005901,0.014985,0.027364,-0.012567,0.035212,0.010627,-0.007754,0.003967,-0.014991,0.027364,-0.012567,0.035212,0.010627,-0.007754,0.003967,-0.014991
0.002000,0.306842,0.000151,0.486851,0.306839,0.000151,0.486851,0.306839,0.000155,0.486855,-0.000003,0.000000,0.000000,-0.000005,-0.000008,0.000012,0.000300,-0.001417,-0.000791,0.000000,0.000000,0.000000,0.001203,0.002402,-0.003488,-0.011301,0.028344,0.015817,-0.011301,0.028344,0.015817,-0.004830,-0.007231,0.010513,-0.004830,-0.007231,0.010513,0.019211,-0.013830,0.020078,0.013246,0.001132,0.006240,-0.010516,0.019211,-0.013830,0.020078,0.013246,0.001132,0.006240,-0.010516
0.003000,0.306842,0.000151,0.486847,0.306839,0.000151,0.486847,0.306839,0.000155,0.486855,-0.000003,0.000000,0.000000,-0.000002,-0.000020,0.000019,0.000254,0.000633,-0.001275,0.000000,0.000000,0.000000,-0.004728,0.004375,0.001092,-0.009615,-0.012668,0.025503,-0.009615,-0.012668,0.025503,0.018904,-0.013186,-0.003202,0.018904,-0.013186,-0.003202,-0.007093,-0.022490,-0.019776,0.023980,0.016237,0.013411,0.003202,-0.007093,-0.022490,-0.019776,0.023980,0.016237,0.013411,0.003202
0.004000,0.306841,0.000151,0.486846,0.306839,0.000151,0.486846,0.306839,0.000155,0.486855,-0.000002,0.000000,0.000000,-0.000008,-0.000023,0.000021,0.001957,-0.000127,-0.000388,0.000000,0.000000,0.000000,-0.002656,-0.004413,-0.000295,-0.069110,0.002546,0.007770,-0.069110,0.002546,0.007770,0.010592,0.013168,0.000970,0.010592,0.013168,0.000970,0.001762,0.000149,-0.005974,-0.018342,0.011134,-0.027022,-0.000964,0.001762,0.000149,-0.005974,-0.018342,0.011134,-0.027022,-0.000964
0.005000,0.306841,0.000154,0.486842,0.306839,0.000154,0.486842,0.306839,0.000155,0.486855,-0.000002,0.000000,0.000000,-0.000007,-0.000030,0.000016,0.001369,0.000723,-0.001881,0.000000,0.000000,0.000000,-0.003816,-0.000165,0.002726,-0.048411,-0.014470,0.037612,-0.048411,-0.014470,0.037612,0.015235,0.000404,-0.008115,0.015235,0.000404,-0.008115,-0.012548,-0.018608,-0.021225,0.011148,0.012196,-0.007277,0.008118,-0.012548,-0.018608,-0.021225,0.011148,0.012196,-0.007277,0.008118
0.006000,0.306840,0.000157,0.486841,0.306839,0.000157,0.486841,0.306839,0.000155,0.486855,-0.000001,0.000000,0.000000,-0.000010,-0.000030,0.000008,0.000705,0.001001,0.000008,0.000000,0.000000,0.000000,-0.002207,-0.004747,0.004097,-0.025021,-0.020026,-0.000164,-0.025021,-0.020026,-0.000164,0.008788,0.014151,-0.012259,0.008788,0.014151,-0.012259,-0.018400,0.010341,-0.021405,-0.017429,0.004580,-0.019425,0.012265,-0.018400,0.010341,-0.021405,-0.017429,0.004580,-0.019425,0.012265
0.007000,0.306840,0.000157,0.486838,0.306839,0.000157,0.486838,0.306839,0.000155,0.486855,-0.000001,0.000000,0.000000,-0.000008,-0.000032,0.000008,0.000763,0.000667,-0.000903,0.000000,0.000000,0.000000,-0.002272,-0.002286,0.001862,-0.027085,-0.013332,0.018069,-0.027085,-0.013332,0.018069,0.009055,0.006760,-0.005557,0.009055,0.006760,-0.005557,-0.009644,-0.002961,-0.014677,-0.001697,0.006254,-0.010865,0.005560,-0.009644,-0.002961,-0.014677,-0.001697,0.006254,-0.010865,0.005560
0.008000,0.306840,0.000157,0.486835,0.306839,0.000157,0.486835,0.306839,0.000155,0.486855,-0.000001,0.000000,0.000000,-0.000008,-0.000030,0.000004,0.000453,0.001234,-0.001723,0.000000,0.000000,0.000000,-0.001593,-0.000506,0.004521,-0.016068,-0.024676,0.034468,-0.016068,-0.024676,0.034468,0.006338,0.001427,-0.013548,0.006338,0.001427,-0.013548,-0.021118,-0.011645,-0.022099,0.012787,0.001151,-0.001770,0.013550,-0.021118,-0.011645,-0.022099,0.012787,0.001151,-0.001770,0.013550
0.009000,0.306840,0.000158,0.486835,0.306839,0.000158,0.486835,0.306839,0.000155,0.486855,-0.000001,0.000000,0.000000,-0.000010,-0.000028,0.000006,0.000345,0.001079,-0.001870,0.000000,0.000000,0.000000,-0.000661,0.000720,0.002832,-0.012239,-0.021590,0.037401,-0.012239,-0.021590,0.037401,0.002604,-0.002243,-0.008470,0.002604,-0.002243,-0.008470,-0.015091,-0.015622,-0.014857,0.018331,-0.001935,0.002961,0.008470,-0.015091,-0.015622,-0.014857,0.018331,-0.001935,0.002961,0.008470
