time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306833,0.000113,0.486793,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000001,0.000001,-0.000003,0.000004,0.000005,-0.000001,0.000135,-0.001564,0.000831,0.000000,0.000000,0.000000,-0.002535,-0.001115,-0.001430,-0.002875,0.031329,-0.016963,-0.002875,0.031329,-0.016963,0.010159,0.003362,0.004285,0.010159,0.003362,0.004285,0.013903,0.008144,0.006054,-0.011744,0.016749,-0.005463,-0.004283,0.013903,0.008144,0.006054,-0.011744,0.016749,-0.005463,-0.004283
0.001000,0.306833,0.000115,0.486795,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000001,-0.000002,-0.000006,0.000006,0.000013,-0.000007,-0.000132,0.000003,0.000860,0.000000,0.000000,0.000000,-0.003725,-0.001538,0.002444,0.002509,-0.000245,-0.017799,0.002509,-0.000245,-0.017799,0.014924,0.004653,-0.007360,0.014924,0.004653,-0.007360,-0.007431,0.010513,-0.015826,-0.012744,0.014873,-0.005687,0.007364,-0.007431,0.010513,-0.015826,-0.012744,0.014873,-0.005687,0.007364
0.002000,0.306834,0.000115,0.486795,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000003,-0.000001,-0.000006,0.000008,0.000010,-0.000002,-0.000217,0.000024,-0.001960,0.000000,0.000000,0.000000,-0.003896,0.005170,0.000899,0.004033,-0.000615,0.038626,0.004033,-0.000615,0.038626,0.015618,-0.015479,-0.002706,0.015618,-0.015479,-0.002706,-0.002906,-0.026713,-0.013184,0.034218,0.015488,0.019729,0.002700,-0.002906,-0.026713,-0.013184,0.034218,0.015488,0.019729,0.002700
0.003000,0.306834,0.000117,0.486797,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000002,-0.000003,-0.000007,0.000009,0.000013,-0.000002,-0.000198,0.001126,-0.001011,0.000000,0.000000,0.000000,-0.000552,0.003441,0.001542,0.003714,-0.022847,0.019469,0.003714,-0.022847,0.019469,0.002243,-0.010284,-0.004631,0.002243,-0.010284,-0.004631,-0.011646,-0.015685,-0.012309,0.019941,-0.002564,0.012780,0.004626,-0.011646,-0.015685,-0.012309,0.019941,-0.002564,0.012780,0.004626
0.004000,0.306833,0.000118,0.486795,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000001,-0.000005,-0.000006,0.000011,0.000011,-0.000006,0.001504,0.001393,-0.000072,0.000000,0.000000,0.000000,0.002552,-0.006147,0.001514,-0.030231,-0.028338,0.000849,-0.030231,-0.028338,0.000849,-0.010166,0.018475,-0.004566,-0.010166,0.018475,-0.004566,-0.013263,0.013562,-0.005274,-0.021943,-0.016124,-0.024760,0.004574,-0.013263,0.013562,-0.005274,-0.021943,-0.016124,-0.024760,0.004574
0.005000,0.306834,0.000119,0.486794,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000002,-0.000006,-0.000005,0.000017,0.000010,-0.000004,0.000986,0.000512,0.000270,0.000000,0.000000,0.000000,-0.000051,-0.006322,-0.000571,-0.019974,-0.010807,-0.005896,-0.019974,-0.010807,-0.005896,0.000271,0.018997,0.001696,0.000271,0.018997,0.001696,-0.001620,0.017740,-0.002513,-0.024340,-0.002000,-0.023719,-0.001687,-0.001620,0.017740,-0.002513,-0.024340,-0.002000,-0.023719,-0.001687
0.006000,0.306834,0.000120,0.486793,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000002,-0.000007,-0.000004,0.000014,0.000016,-0.000006,0.001002,0.000111,0.000080,0.000000,0.000000,0.000000,0.000199,-0.005971,-0.000712,-0.020306,-0.002902,-0.001965,-0.020306,-0.002902,-0.001965,-0.000738,0.017962,0.002112,-0.000738,0.017962,0.002112,0.001221,0.015445,0.001068,-0.021488,-0.001346,-0.022408,-0.002104,0.001221,0.015445,0.001068,-0.021488,-0.001346,-0.022408,-0.002104
0.007000,0.306833,0.000122,0.486794,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000001,-0.000008,-0.000005,0.000014,0.000026,-0.000015,0.000257,0.000155,0.001295,0.000000,0.000000,0.000000,0.001117,-0.009556,0.000621,-0.005270,-0.003947,-0.026351,-0.005270,-0.003947,-0.026351,-0.004412,0.028745,-0.001924,-0.004412,0.028745,-0.001924,-0.003135,0.036022,0.000480,-0.041871,-0.005240,-0.032175,0.001937,-0.003135,0.036022,0.000480,-0.041871,-0.005240,-0.032175,0.001937
0.008000,0.306833,0.000122,0.486795,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,-0.000001,-0.000009,-0.000005,0.000015,0.000033,-0.000014,-0.000116,-0.000388,0.001643,0.000000,0.000000,0.000000,-0.000062,-0.010776,-0.001334,0.002217,0.006906,-0.033390,0.002217,0.006906,-0.033390,0.000308,0.032428,0.003947,0.000308,0.032428,0.003947,0.006069,0.043025,0.004846,-0.047934,0.001762,-0.034907,-0.003932,0.006069,0.043025,0.004846,-0.047934,0.001762,-0.034907,-0.003932
0.009000,0.306832,0.000121,0.486792,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,0.000000,-0.000007,-0.000003,0.000012,0.000033,-0.000012,-0.000947,-0.000418,0.000738,0.000000,0.000000,0.000000,0.001432,-0.008096,-0.001649,0.018971,0.007624,-0.015029,0.018971,0.007624,-0.015029,-0.005683,0.024385,0.004900,-0.005683,0.024385,0.004900,0.007240,0.031947,0.009991,-0.029097,-0.004078,-0.021723,-0.004889,0.007240,0.031947,0.009991,-0.029097,-0.004078,-0.021723,-0.004889
0.010000,0.306830,0.000121,0.486795,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,0.000002,-0.000008,-0.000005,0.000011,0.000040,-0.000009,-0.001213,-0.000355,0.000571,0.000000,0.000000,0.000000,0.000269,-0.005548,-0.002068,0.024501,0.006350,-0.011967,0.024501,0.006350,-0.011967,-0.001031,0.016764,0.006168,-0.001031,0.016764,0.006168,0.008116,0.024234,0.007177,-0.019317,0.000304,-0.012669,-0.006161,0.008116,0.024234,0.007177,-0.019317,0.000304,-0.012669,-0.006161
0.011000,0.306828,0.000121,0.486794,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,0.000004,-0.000008,-0.000004,0.000008,0.000036,-0.000009,-0.001182,-0.000090,-0.000372,0.000000,0.000000,0.000000,0.000969,-0.001173,-0.001423,0.024118,0.000985,0.007041,0.024118,0.000985,0.007041,-0.003841,0.003628,0.004234,-0.003841,0.003628,0.004234,0.004534,0.005194,0.006037,0.002764,-0.003634,0.002063,-0.004233,0.004534,0.005194,0.006037,0.002764,-0.003634,0.002063,-0.004233
0.012000,0.306827,0.000122,0.486793,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,0.000005,-0.000009,-0.000004,0.000002,0.000036,-0.000006,-0.001408,-0.000028,-0.000199,0.000000,0.000000,0.000000,0.001815,-0.001381,-0.001869,0.028754,-0.000337,0.003576,0.028754,-0.000337,0.003576,-0.007253,0.004250,0.005583,-0.007253,0.004250,0.005583,0.005478,0.007597,0.008977,0.001093,-0.007324,0.002109,-0.005582,0.005478,0.007597,0.008977,0.001093,-0.007324,0.002109,-0.005582
0.013000,0.306826,0.000122,0.486792,0.306832,0.000113,0.486789,0.306832,0.000113,0.486789,0.000006,-0.000008,-0.000003,-0.000005,0.000033,-0.000001,-0.000820,-0.000318,-0.000813,0.000000,0.000000,0.000000,0.001903,0.000884,-0.002222,0.017060,0.005538,0.015985,0.017060,0.005538,0.015985,-0.007632,-0.002553,0.006661,-0.007632,-0.002553,0.006661,0.008360,-0.004830,0.011916,0.012276,-0.006467,0.007545,-0.006663,0.008360,-0.004830,0.011916,0.012276,-0.006467,0.007545,-0.006663
