time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306828,-0.000158,0.486780,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000002,-0.000007,0.000003,-0.000010,-0.000014,-0.000013,0.000524,0.003516,-0.000204,0.000000,0.000000,0.000000,0.004422,0.002907,0.005986,-0.010731,-0.071056,0.004414,-0.010731,-0.071056,0.004414,-0.017724,-0.005842,-0.012019,-0.017724,-0.005842,-0.012019,-0.033813,-0.008871,-0.019073,0.006554,-0.032669,0.003970,0.012019,-0.033813,-0.008871,-0.019073,0.006554,-0.032669,0.003970,0.012019
0.001000,0.306828,-0.000156,0.486779,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000002,-0.000010,0.000004,-0.000015,-0.000017,-0.000020,0.000215,0.003367,-0.000408,0.000000,0.000000,0.000000,0.009631,0.002823,0.005909,-0.004594,-0.068336,0.008576,-0.004594,-0.068336,0.008576,-0.038579,-0.005680,-0.011889,-0.038579,-0.005680,-0.011889,-0.032853,-0.009024,-0.003349,0.009157,-0.052952,0.005473,0.011888,-0.032853,-0.009024,-0.003349,0.009157,-0.052952,0.005473,0.011888
0.002000,0.306827,-0.000153,0.486777,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000002,-0.000013,0.000006,-0.000009,-0.000028,-0.000023,-0.000615,0.002420,-0.002339,0.000000,0.000000,0.000000,0.006818,0.007928,0.002697,0.012064,-0.049646,0.047411,0.012064,-0.049646,0.047411,-0.027301,-0.015912,-0.005475,-0.027301,-0.015912,-0.005475,-0.020698,-0.028628,-0.000700,0.039847,-0.037743,0.022625,0.005477,-0.020698,-0.028628,-0.000700,0.039847,-0.037743,0.022625,0.005477
0.003000,0.306829,-0.000152,0.486774,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000003,-0.000014,0.000009,-0.000010,-0.000037,-0.000028,-0.000042,-0.000796,-0.001719,0.000000,0.000000,0.000000,-0.000831,0.006293,-0.000565,0.000464,0.014550,0.035317,0.000464,0.014550,0.035317,0.003293,-0.012660,0.001029,0.003293,-0.012660,0.001029,0.005501,-0.023419,0.003163,0.029373,0.006355,0.015863,-0.001025,0.005501,-0.023419,0.003163,0.029373,0.006355,0.015863,-0.001025
0.004000,0.306829,-0.000151,0.486771,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000003,-0.000015,0.000012,-0.000007,-0.000046,-0.000037,-0.000325,0.000172,-0.002849,0.000000,0.000000,0.000000,-0.000426,0.008645,0.001082,0.006123,-0.004940,0.058213,0.006123,-0.004940,0.058213,0.001680,-0.017383,-0.002294,0.001680,-0.017383,-0.002294,-0.003802,-0.034327,-0.004393,0.045638,0.000642,0.023789,0.002300,-0.003802,-0.034327,-0.004393,0.045638,0.000642,0.023789,0.002300
0.005000,0.306829,-0.000152,0.486768,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000003,-0.000014,0.000015,-0.000004,-0.000051,-0.000033,0.000067,-0.000252,-0.001895,0.000000,0.000000,0.000000,0.000307,0.006205,-0.001307,-0.001736,0.003688,0.039458,-0.001736,0.003688,0.039458,-0.001242,-0.012512,0.002498,-0.001242,-0.012512,0.002498,0.003634,-0.024891,0.003864,0.030904,-0.000466,0.015618,-0.002494,0.003634,-0.024891,0.003864,0.030904,-0.000466,0.015618,-0.002494
0.006000,0.306829,-0.000152,0.486764,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000004,-0.000013,0.000019,0.000001,-0.000053,-0.000040,-0.000068,-0.000313,-0.002856,0.000000,0.000000,0.000000,-0.000756,0.006899,0.000973,0.000884,0.004922,0.059040,0.000884,0.004922,0.059040,0.003028,-0.013905,-0.002087,0.003028,-0.013905,-0.002087,-0.000566,-0.031905,-0.001984,0.041876,0.004064,0.019282,0.002092,-0.000566,-0.031905,-0.001984,0.041876,0.004064,0.019282,0.002092
0.007000,0.306830,-0.000155,0.486762,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000004,-0.000011,0.000022,0.000007,-0.000055,-0.000037,0.000171,-0.001916,-0.002827,0.000000,0.000000,0.000000,-0.006082,0.006195,-0.000406,-0.003958,0.037262,0.058698,-0.003958,0.037262,0.058698,0.024352,-0.012501,0.000683,0.024352,-0.012501,0.000683,0.012126,-0.031146,-0.004584,0.039685,0.032190,0.016824,-0.000678,0.012126,-0.031146,-0.004584,0.039685,0.032190,0.016824,-0.000678
0.008000,0.306830,-0.000155,0.486759,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000004,-0.000011,0.000024,0.000009,-0.000054,-0.000037,-0.000075,-0.001404,-0.002711,0.000000,0.000000,0.000000,-0.005793,0.004838,0.000089,0.000989,0.027006,0.056636,0.000989,0.027006,0.056636,0.023201,-0.009784,-0.000310,0.023201,-0.009784,-0.000310,0.007983,-0.027036,-0.007823,0.036637,0.028881,0.014968,0.000314,0.007983,-0.027036,-0.007823,0.036637,0.028881,0.014968,0.000314
0.009000,0.306829,-0.000156,0.486754,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000004,-0.000009,0.000029,0.000003,-0.000063,-0.000040,-0.000242,-0.001007,-0.003726,0.000000,0.000000,0.000000,-0.003317,0.007530,0.002249,0.004389,0.019222,0.077433,0.004389,0.019222,0.077433,0.013280,-0.015186,-0.004637,0.013280,-0.015186,-0.004637,0.001277,-0.038314,-0.006377,0.052287,0.017324,0.022913,0.004642,0.001277,-0.038314,-0.006377,0.052287,0.017324,0.022913,0.004642
0.010000,0.306830,-0.000158,0.486753,0.306825,-0.000166,0.486784,0.306825,-0.000166,0.486784,-0.000004,-0.000008,0.000031,0.000008,-0.000063,-0.000035,-0.000296,-0.002850,-0.003626,0.000000,0.000000,0.000000,0.000633,0.007445,-0.004032,0.005404,0.056249,0.075573,0.005404,0.056249,0.075573,-0.002504,-0.015017,0.007940,-0.002504,-0.015017,0.007940,0.025229,-0.037438,0.025749,0.051353,0.009329,0.022796,-0.007936,0.025229,-0.037438,0.025749,0.051353,0.009329,0.022796,-0.007936
