time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306804,-0.000002,0.486772,0.306803,0.000002,0.486776,-0.000001,0.000004,0.000004,-0.000003,-0.000014,0.000010,0.001295,-0.001986,-0.002303,0.002642,0.008188,-0.010166,-0.025998,0.040102,0.046471,-0.010577,-0.016404,0.020366,0.032651,-0.034674,0.034870,0.034957,-0.002144,0.015003,-0.020373
0.001000,0.306805,-0.000002,0.486770,0.306803,0.000002,0.486776,-0.000001,0.000004,0.000006,-0.000002,-0.000023,0.000009,0.001180,-0.000959,-0.002012,0.002796,0.006831,-0.004447,-0.023777,0.019620,0.040879,-0.011193,-0.013708,0.008923,0.014934,-0.029907,0.020587,0.029920,-0.007066,0.012291,-0.008929
0.002000,0.306806,-0.000003,0.486767,0.306803,0.000002,0.486776,-0.000002,0.000005,0.000009,-0.000006,-0.000029,0.000012,0.000461,-0.000729,-0.003748,0.002677,0.008806,-0.003630,-0.009512,0.015138,0.075890,-0.010728,-0.017670,0.007301,0.011948,-0.042466,0.017681,0.052248,-0.007538,0.022333,-0.007308
0.003000,0.306807,-0.000004,0.486765,0.306803,0.000002,0.486776,-0.000004,0.000006,0.000012,-0.000014,-0.000039,0.000016,0.000639,0.000831,-0.002764,0.013711,0.007547,-0.005573,-0.013207,-0.016058,0.056457,-0.054896,-0.015173,0.011201,0.006274,-0.034548,0.041518,0.040117,-0.058272,0.017356,-0.011205
0.004000,0.306808,-0.000003,0.486763,0.306803,0.000002,0.486776,-0.000005,0.000005,0.000014,-0.000021,-0.000044,0.000018,0.000355,0.000076,-0.003014,0.011768,0.008432,-0.006971,-0.007643,-0.000996,0.061648,-0.047144,-0.016952,0.014004,0.013705,-0.037070,0.042936,0.045050,-0.047350,0.020758,-0.014009
0.005000,0.306808,-0.000001,0.486758,0.306803,0.000002,0.486776,-0.000005,0.000003,0.000019,-0.000025,-0.000056,0.000013,0.000536,0.000656,-0.004541,0.008633,0.012701,-0.004055,-0.011279,-0.012770,0.092695,-0.034620,-0.025514,0.008157,0.004252,-0.055740,0.026136,0.067780,-0.037298,0.031281,-0.008166
0.006000,0.306807,-0.000003,0.486754,0.306803,0.000002,0.486776,-0.000004,0.000005,0.000022,-0.000031,-0.000064,0.000015,0.000120,0.001360,-0.004807,0.008657,0.012601,0.001123,-0.002879,-0.026733,0.098368,-0.034738,-0.025329,-0.002195,-0.010358,-0.055985,0.014432,0.071352,-0.040347,0.033367,0.002186
0.007000,0.306807,-0.000003,0.486749,0.306803,0.000002,0.486776,-0.000004,0.000005,0.000027,-0.000036,-0.000073,0.000014,-0.000496,-0.000463,-0.002830,0.010284,0.005792,-0.001374,0.009427,0.009715,0.059278,-0.041260,-0.011729,0.002797,0.005817,-0.028416,0.034401,0.040854,-0.039207,0.018920,-0.002798
0.008000,0.306808,-0.000005,0.486748,0.306803,0.000002,0.486776,-0.000004,0.000007,0.000028,-0.000037,-0.000070,0.000012,-0.000438,-0.000756,-0.002140,0.008705,0.003270,0.000013,0.008248,0.015784,0.045620,-0.034947,-0.006680,0.000016,0.004892,-0.019335,0.029927,0.029200,-0.031619,0.012424,-0.000016
0.009000,0.306808,-0.000005,0.486745,0.306803,0.000002,0.486776,-0.000004,0.000007,0.000032,-0.000037,-0.000075,0.000008,-0.000863,0.000684,-0.001613,0.004730,0.000993,0.004891,0.016732,-0.012930,0.035412,-0.019049,-0.002136,-0.009752,-0.013702,-0.010352,0.002374,0.020956,-0.021763,0.008776,0.009753
