time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306882,-0.000164,0.486669,0.306881,-0.000164,0.486669,0.306881,-0.000167,0.486668,-0.000001,0.000000,0.000000,0.000002,0.000001,-0.000003,0.000047,0.001486,0.000399,0.000000,0.000000,0.000000,-0.002499,-0.000420,0.002989,-0.001896,-0.029724,-0.007974,-0.001896,-0.029724,-0.007974,0.010004,0.001263,-0.008981,0.010004,0.001263,-0.008981,-0.018101,0.003409,-0.023102,-0.005274,0.003755,-0.002368,0.008978,-0.018101,0.003409,-0.023102,-0.005274,0.003755,-0.002368,0.008978
0.001000,0.306883,-0.000164,0.486667,0.306881,-0.000164,0.486667,0.306881,-0.000167,0.486668,-0.000002,0.000000,0.000000,0.000004,-0.000006,-0.000001,0.000261,0.001214,-0.001128,0.000000,0.000000,0.000000,-0.002977,0.003571,0.001001,-0.009580,-0.024279,0.022558,-0.009580,-0.024279,0.022558,0.011926,-0.010730,-0.003007,0.011926,-0.010730,-0.003007,-0.010461,-0.019129,-0.018470,0.020136,0.006820,0.010692,0.003005,-0.010461,-0.019129,-0.018470,0.020136,0.006820,0.010692,0.003005
0.002000,0.306884,-0.000163,0.486667,0.306881,-0.000163,0.486667,0.306881,-0.000167,0.486668,-0.000003,0.000000,0.000000,0.000004,-0.000010,-0.000003,0.000291,0.000882,-0.001877,0.000000,0.000000,0.000000,-0.000010,0.005904,-0.000249,-0.010828,-0.017633,0.037541,-0.010828,-0.017633,0.037541,0.000053,-0.017742,0.000736,0.000053,-0.017742,0.000736,-0.004679,-0.030936,-0.005262,0.034062,-0.003655,0.018762,-0.000732,-0.004679,-0.030936,-0.005262,0.034062,-0.003655,0.018762,-0.000732
0.003000,0.306885,-0.000160,0.486665,0.306881,-0.000160,0.486665,0.306881,-0.000167,0.486668,-0.000003,0.000000,0.000000,0.000003,-0.000014,-0.000009,0.000402,0.001239,-0.001064,0.000000,0.000000,0.000000,0.002586,0.003771,-0.000168,-0.014936,-0.024780,0.021283,-0.014936,-0.024780,0.021283,-0.010331,-0.011356,0.000468,-0.010331,-0.011356,0.000468,-0.007139,-0.020185,-0.000434,0.019484,-0.015544,0.010086,-0.000463,-0.007139,-0.020185,-0.000434,0.019484,-0.015544,0.010086,-0.000463
0.004000,0.306886,-0.000162,0.486667,0.306881,-0.000162,0.486667,0.306881,-0.000167,0.486668,-0.000005,0.000000,0.000000,0.000001,-0.000015,-0.000014,0.000496,0.000712,0.000562,0.000000,0.000000,0.000000,0.004149,0.001310,0.000589,-0.018584,-0.014242,-0.011236,-0.018584,-0.014242,-0.011236,-0.016592,-0.003973,-0.001821,-0.016592,-0.003973,-0.001821,-0.006196,-0.003376,0.005803,-0.003711,-0.019587,-0.000922,0.001827,-0.006196,-0.003376,0.005803,-0.003711,-0.019587,-0.000922,0.001827
0.005000,0.306886,-0.000163,0.486661,0.306881,-0.000163,0.486661,0.306881,-0.000167,0.486668,-0.000005,0.000000,0.000000,0.000002,-0.000030,-0.000014,0.000625,0.000474,-0.001217,0.000000,0.000000,0.000000,0.002720,0.005833,0.000368,-0.023063,-0.009472,0.024335,-0.023063,-0.009472,0.024335,-0.010869,-0.017590,-0.001161,-0.010869,-0.017590,-0.001161,-0.004072,-0.028597,0.003778,0.026106,-0.012859,0.014877,0.001168,-0.004072,-0.028597,0.003778,0.026106,-0.012859,0.014877,0.001168
0.006000,0.306887,-0.000164,0.486656,0.306881,-0.000164,0.486656,0.306881,-0.000167,0.486668,-0.000006,0.000000,0.000000,0.000006,-0.000037,-0.000017,0.000849,0.000204,-0.002422,0.000000,0.000000,0.000000,0.000541,0.007775,0.001224,-0.031237,-0.004080,0.048443,-0.031237,-0.004080,0.048443,-0.002138,-0.023435,-0.003739,-0.002138,-0.023435,-0.003739,-0.004997,-0.043109,-0.002462,0.042267,-0.002993,0.021115,0.003745,-0.004997,-0.043109,-0.002462,0.042267,-0.002993,0.021115,0.003745
0.007000,0.306889,-0.000168,0.486652,0.306881,-0.000168,0.486652,0.306881,-0.000167,0.486668,-0.000008,0.000000,0.000000,0.000006,-0.000040,-0.000009,0.000804,-0.000618,-0.003001,0.000000,0.000000,0.000000,-0.000250,0.006592,-0.000393,-0.030128,0.012369,0.060027,-0.030128,0.012369,0.060027,0.001025,-0.019896,0.001143,0.001025,-0.019896,0.001143,0.004935,-0.042976,0.004111,0.044343,0.003626,0.018826,-0.001139,0.004935,-0.042976,0.004111,0.044343,0.003626,0.018826,-0.001139
0.008000,0.306892,-0.000168,0.486647,0.306881,-0.000168,0.486647,0.306881,-0.000167,0.486668,-0.000010,0.000000,0.000000,0.000004,-0.000047,-0.000002,0.001283,-0.000133,-0.005157,0.000000,0.000000,0.000000,-0.000069,0.010161,-0.001521,-0.047511,0.002657,0.103133,-0.047511,0.002657,0.103133,0.000290,-0.030622,0.004556,0.000290,-0.030622,0.004556,0.005368,-0.069662,0.003893,0.073156,0.000846,0.029673,-0.004550,0.005368,-0.069662,0.003893,0.073156,0.000846,0.029673,-0.004550
0.009000,0.306895,-0.000170,0.486643,0.306881,-0.000170,0.486643,0.306881,-0.000167,0.486668,-0.000013,0.000000,0.000000,0.000009,-0.000054,-0.000001,0.001579,-0.000225,-0.004776,0.000000,0.000000,0.000000,-0.001006,0.008776,-0.000901,-0.058546,0.004498,0.095516,-0.058546,0.004498,0.095516,0.004062,-0.026491,0.002698,0.004062,-0.026491,0.002698,0.004073,-0.064874,0.000508,0.064012,0.005005,0.022550,-0.002694,0.004073,-0.064874,0.000508,0.064012,0.005005,0.022550,-0.002694
0.010000,0.306897,-0.000174,0.486638,0.306881,-0.000174,0.486638,0.306881,-0.000167,0.486668,-0.000016,0.000000,0.000000,0.000007,-0.000063,0.000009,0.001454,-0.001172,-0.004292,0.000000,0.000000,0.000000,-0.000162,0.007869,-0.003113,-0.054810,0.023434,0.085832,-0.054810,0.023434,0.085832,0.000674,-0.023794,0.009375,0.000674,-0.023794,0.009375,0.016560,-0.058621,0.013780,0.057229,0.005596,0.019792,-0.009370,0.016560,-0.058621,0.013780,0.057229,0.005596,0.019792,-0.009370
0.011000,0.306900,-0.000176,0.486632,0.306881,-0.000176,0.486632,0.306881,-0.000167,0.486668,-0.000019,0.000000,0.000000,0.000007,-0.000074,0.000012,0.002465,-0.001408,-0.004776,0.000000,0.000000,0.000000,0.000872,0.007488,-0.003675,-0.090913,0.028162,0.095521,-0.090913,0.028162,0.095521,-0.003462,-0.022686,0.011074,-0.003462,-0.022686,0.011074,0.019698,-0.066045,0.019423,0.056029,0.002448,0.011931,-0.011068,0.019698,-0.066045,0.019423,0.056029,0.002448,0.011931,-0.011068
