time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306872,-0.000100,0.486738,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000004,-0.000001,-0.000013,-0.000001,0.000038,0.000002,-0.000493,-0.001768,0.002569,0.000000,0.000000,0.000000,-0.000622,-0.009414,-0.006489,0.010312,0.035279,-0.052655,0.010312,0.035279,-0.052655,0.002485,0.028355,0.019477,0.002485,0.028355,0.019477,0.030304,0.046099,0.023499,-0.051891,0.009903,-0.030811,-0.019485,0.030304,0.046099,0.023499,-0.051891,0.009903,-0.030811,-0.019485
0.001000,0.306870,-0.000101,0.486741,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000006,0.000001,-0.000015,-0.000006,0.000041,0.000004,-0.000536,-0.001993,0.002871,0.000000,0.000000,0.000000,0.001307,-0.008578,-0.006194,0.011473,0.039941,-0.058926,0.011473,0.039941,-0.058926,-0.005253,0.025856,0.018599,-0.005253,0.025856,0.018599,0.030857,0.045703,0.029868,-0.052203,0.003148,-0.028619,-0.018604,0.030857,0.045703,0.029868,-0.052203,0.003148,-0.028619,-0.018604
0.002000,0.306868,-0.000099,0.486746,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000008,-0.000001,-0.000021,-0.000004,0.000052,0.000000,-0.001113,0.001100,0.004182,0.000000,0.000000,0.000000,0.001104,-0.011065,0.003132,0.023245,-0.022118,-0.085709,0.023245,-0.022118,-0.085709,-0.004430,0.033349,-0.009393,-0.004430,0.033349,-0.009393,-0.016179,0.063224,-0.010722,-0.070824,-0.009077,-0.036000,0.009386,-0.016179,0.063224,-0.010722,-0.070824,-0.009077,-0.036000,0.009386
0.003000,0.306866,-0.000099,0.486749,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000011,-0.000002,-0.000024,-0.000006,0.000061,0.000004,-0.001749,0.000730,0.004102,0.000000,0.000000,0.000000,-0.000609,-0.011724,0.002023,0.036235,-0.014789,-0.084447,0.036235,-0.014789,-0.084447,0.002412,0.035357,-0.006055,0.002412,0.035357,-0.006055,-0.010590,0.066841,-0.010812,-0.070574,-0.000693,-0.035162,0.006046,-0.010590,0.066841,-0.010812,-0.070574,-0.000693,-0.035162,0.006046
0.004000,0.306864,-0.000099,0.486751,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000012,-0.000002,-0.000026,-0.000008,0.000062,0.000006,-0.001347,-0.000093,0.002860,0.000000,0.000000,0.000000,-0.003449,-0.006594,0.001788,0.028371,0.001686,-0.059766,0.028371,0.001686,-0.059766,0.013763,0.019968,-0.005340,0.013763,0.019968,-0.005340,-0.004819,0.042669,-0.012964,-0.044545,0.014122,-0.019258,0.005332,-0.004819,0.042669,-0.012964,-0.044545,0.014122,-0.019258,0.005332
0.005000,0.306862,-0.000099,0.486751,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000014,-0.000002,-0.000025,0.000002,0.000064,0.000003,-0.001276,-0.000861,0.003097,0.000000,0.000000,0.000000,-0.009340,-0.008009,0.002925,0.027154,0.017072,-0.064471,0.027154,0.017072,-0.064471,0.037367,0.024218,-0.008766,0.037367,0.024218,-0.008766,-0.003524,0.048173,-0.027067,-0.051171,0.040964,-0.024178,0.008753,-0.003524,0.048173,-0.027067,-0.051171,0.040964,-0.024178,0.008753
0.006000,0.306862,-0.000102,0.486747,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000014,0.000002,-0.000022,0.000003,0.000060,0.000012,-0.001117,-0.001486,0.002216,0.000000,0.000000,0.000000,-0.007188,-0.006416,-0.000329,0.024025,0.029894,-0.046510,0.024025,0.029894,-0.046510,0.028767,0.019428,0.001036,0.028767,0.019428,0.001036,0.010211,0.037392,-0.009878,-0.038307,0.035058,-0.018464,-0.001045,0.010211,0.037392,-0.009878,-0.038307,0.035058,-0.018464,-0.001045
0.007000,0.306862,-0.000102,0.486749,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000014,0.000001,-0.000023,0.000007,0.000073,0.000007,-0.000501,-0.000965,0.001556,0.000000,0.000000,0.000000,-0.006552,-0.007141,0.001074,0.011657,0.019403,-0.033438,0.011657,0.019403,-0.033438,0.026235,0.021640,-0.003191,0.026235,0.021640,-0.003191,0.002764,0.033691,-0.014493,-0.035931,0.030320,-0.022130,0.003182,0.002764,0.033691,-0.014493,-0.035931,0.030320,-0.022130,0.003182
0.008000,0.306863,-0.000104,0.486748,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000013,0.000003,-0.000023,0.000008,0.000084,0.000008,0.001072,-0.001559,0.004368,0.000000,0.000000,0.000000,-0.005139,-0.019137,0.000500,-0.019877,0.031510,-0.089657,-0.019877,0.031510,-0.089657,0.020589,0.057661,-0.001468,0.020589,0.057661,-0.001468,0.008199,0.082116,-0.005349,-0.102525,0.027222,-0.069731,0.001450,0.008199,0.082116,-0.005349,-0.102525,0.027222,-0.069731,0.001450
0.010000,0.306862,-0.000103,0.486748,0.306876,-0.000101,0.486725,0.306876,-0.000101,0.486725,0.000014,0.000002,-0.000023,0.000015,0.000094,0.000007,0.001060,-0.000472,0.002479,0.000000,0.000000,0.000000,-0.004503,-0.015702,0.000265,-0.019531,0.009651,-0.051843,-0.019531,0.009651,-0.051843,0.018070,0.047390,-0.000768,0.018070,0.047390,-0.000768,0.002192,0.060294,-0.010187,-0.074360,0.020103,-0.056060,0.000752,0.002192,0.060294,-0.010187,-0.074360,0.020103,-0.056060,0.000752
