time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306847,0.000057,0.486791,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000002,-0.000000,0.000001,0.000010,-0.000002,0.000007,-0.000394,0.000123,-0.000758,0.000000,0.000000,0.000000,-0.005400,0.001293,-0.003761,0.008104,-0.002496,0.015209,0.008104,-0.002496,0.015209,0.021639,-0.003884,0.011310,0.021639,-0.003884,0.011310,0.010531,-0.007224,-0.008126,0.012045,0.021111,0.006917,-0.011323,0.010531,-0.007224,-0.008126,0.012045,0.021111,0.006917,-0.011323
0.001000,0.306846,0.000059,0.486790,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000002,-0.000002,0.000001,0.000019,-0.000004,0.000001,-0.000222,0.001253,-0.000904,0.000000,0.000000,0.000000,-0.007118,0.001625,0.000753,0.004715,-0.025292,0.018225,0.004715,-0.025292,0.018225,0.028548,-0.004887,-0.002256,0.028548,-0.004887,-0.002256,-0.010033,-0.009696,-0.030040,0.014029,0.023224,0.007479,0.002239,-0.010033,-0.009696,-0.030040,0.014029,0.023224,0.007479,0.002239
0.002000,0.306846,0.000059,0.486786,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000003,-0.000002,0.000006,0.000028,-0.000013,0.000008,-0.000433,0.001215,-0.002074,0.000000,0.000000,0.000000,-0.009909,0.003553,-0.000012,0.009001,-0.024494,0.042074,0.009001,-0.024494,0.042074,0.039749,-0.010696,0.000066,0.039749,-0.010696,0.000066,-0.007487,-0.022171,-0.036093,0.031627,0.034592,0.016282,-0.000093,-0.007487,-0.022171,-0.036093,0.031627,0.034592,0.016282,-0.000093
0.003000,0.306846,0.000060,0.486784,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000003,-0.000003,0.000008,0.000035,-0.000017,0.000009,-0.000782,0.001837,-0.003565,0.000000,0.000000,0.000000,-0.005148,0.010035,-0.001153,0.015955,-0.037036,0.072057,0.015955,-0.037036,0.072057,0.020730,-0.030158,0.003494,0.020730,-0.030158,0.003494,-0.007916,-0.049814,-0.024332,0.066147,0.012936,0.039838,-0.003523,-0.007916,-0.049814,-0.024332,0.066147,0.012936,0.039838,-0.003523
0.004000,0.306846,0.000061,0.486780,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000002,-0.000004,0.000012,0.000035,-0.000026,0.000003,-0.000167,0.002003,-0.002684,0.000000,0.000000,0.000000,-0.000866,0.005712,-0.000555,0.003641,-0.040480,0.054832,0.003641,-0.040480,0.054832,0.003607,-0.017213,0.001679,0.003607,-0.017213,0.001679,-0.010768,-0.033478,-0.014594,0.043522,-0.004910,0.022792,-0.001692,-0.010768,-0.033478,-0.014594,0.043522,-0.004910,0.022792,-0.001692
0.005000,0.306846,0.000061,0.486779,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000003,-0.000005,0.000013,0.000031,-0.000027,0.000000,-0.000430,0.001272,-0.002704,0.000000,0.000000,0.000000,-0.000916,0.004592,-0.000020,0.008902,-0.025914,0.055377,0.008902,-0.025914,0.055377,0.003789,-0.013856,0.000060,0.003789,-0.013856,0.000060,-0.007914,-0.029486,-0.011112,0.041111,-0.001661,0.020593,-0.000071,-0.007914,-0.029486,-0.011112,0.041111,-0.001661,0.020593,-0.000071
0.006000,0.306847,0.000064,0.486772,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000002,-0.000007,0.000020,0.000036,-0.000046,-0.000002,0.000123,0.001714,-0.004966,0.000000,0.000000,0.000000,-0.001558,0.011873,-0.000029,-0.002196,-0.034997,0.101317,-0.002196,-0.034997,0.101317,0.006375,-0.035755,0.000076,0.006375,-0.035755,0.000076,-0.010697,-0.067253,-0.015922,0.083241,-0.000984,0.044182,-0.000102,-0.010697,-0.067253,-0.015922,0.083241,-0.000984,0.044182,-0.000102
0.007000,0.306845,0.000063,0.486773,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000003,-0.000006,0.000019,0.000031,-0.000042,-0.000002,-0.000439,-0.000921,-0.003796,0.000000,0.000000,0.000000,0.004654,0.008804,-0.003416,0.009186,0.017806,0.077780,0.009186,0.017806,0.077780,-0.018492,-0.026538,0.010243,-0.018492,-0.026538,0.010243,0.015718,-0.049047,0.026135,0.064407,-0.014736,0.035291,-0.010250,0.015718,-0.049047,0.026135,0.064407,-0.014736,0.035291,-0.010250
0.008000,0.306847,0.000064,0.486769,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000002,-0.000007,0.000023,0.000035,-0.000052,-0.000006,-0.000354,-0.000324,-0.005411,0.000000,0.000000,0.000000,0.002129,0.013169,-0.000666,0.007340,0.005774,0.110549,0.007340,0.005774,0.110549,-0.008376,-0.039662,0.001972,-0.008376,-0.039662,0.001972,0.003745,-0.072558,0.009194,0.092754,-0.007148,0.050905,-0.001992,0.003745,-0.072558,0.009194,0.092754,-0.007148,0.050905,-0.001992
0.009000,0.306844,0.000064,0.486766,0.306849,0.000057,0.486792,0.306849,0.000057,0.486792,0.000004,-0.000008,0.000026,0.000032,-0.000058,-0.000009,-0.000880,-0.000234,-0.004680,0.000000,0.000000,0.000000,0.002827,0.011187,-0.001325,0.018113,0.003920,0.096169,0.018113,0.003920,0.096169,-0.011178,-0.033737,0.003939,-0.011178,-0.033737,0.003939,0.005153,-0.060534,0.011988,0.081434,-0.010341,0.045988,-0.003954,0.005153,-0.060534,0.011988,0.081434,-0.010341,0.045988,-0.003954
