time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306724,0.000187,0.486800,0.306723,0.000193,0.486799,-0.000001,0.000006,-0.000000,0.000012,0.000002,0.000014,0.000467,-0.001285,0.001081,-0.010169,-0.002285,-0.001555,-0.009468,0.026262,-0.021669,0.040716,0.004574,0.003158,0.011221,0.009763,-0.018010,-0.016003,0.046242,-0.008462,-0.003164
0.001000,0.306724,0.000186,0.486797,0.306723,0.000193,0.486799,-0.000001,0.000007,0.000002,0.000021,-0.000006,0.000008,0.000527,-0.001500,-0.000099,-0.013440,-0.000025,0.001499,-0.010653,0.030671,0.002229,0.053835,0.000038,-0.002971,0.006440,-0.002304,-0.030197,-0.000325,0.060289,-0.002064,0.002961
0.002000,0.306725,0.000185,0.486797,0.306723,0.000193,0.486799,-0.000002,0.000008,0.000002,0.000022,-0.000004,0.000014,0.000654,-0.002237,-0.000480,-0.010346,-0.000176,-0.001827,-0.013330,0.045558,0.009858,0.041462,0.000343,0.003703,0.017678,-0.004739,-0.011888,0.002621,0.051050,-0.002270,-0.003711
0.003000,0.306725,0.000186,0.486795,0.306723,0.000193,0.486799,-0.000002,0.000007,0.000004,0.000022,-0.000004,0.000005,0.000678,0.000066,-0.001651,0.001093,0.000845,-0.000160,-0.013840,-0.000613,0.033414,-0.004294,-0.001698,0.000338,0.000148,-0.014084,0.003066,0.015692,-0.004421,0.001721,-0.000338
0.004000,0.306725,0.000186,0.486795,0.306723,0.000193,0.486799,-0.000001,0.000007,0.000004,0.000018,-0.000003,0.000004,0.000450,-0.000791,0.000062,0.000360,-0.003748,-0.002335,-0.009178,0.016499,-0.000838,-0.001374,0.007490,0.004685,0.009748,0.006334,0.009659,-0.009058,0.002100,-0.009497,-0.004682
0.005000,0.306724,0.000189,0.486793,0.306723,0.000193,0.486799,-0.000001,0.000004,0.000006,0.000007,-0.000005,0.000005,0.000017,0.001319,0.000125,0.007313,-0.003392,-0.001058,-0.000488,-0.025975,-0.001920,-0.029230,0.006774,0.002133,-0.005837,0.007294,0.013722,-0.007751,-0.034695,-0.007055,-0.002124
0.006000,0.306723,0.000189,0.486792,0.306723,0.000193,0.486799,-0.000000,0.000004,0.000007,-0.000004,-0.000009,0.000009,-0.000631,0.000498,-0.000034,0.007364,-0.001815,-0.002713,0.012601,-0.009580,0.001352,-0.029470,0.003613,0.005455,0.002516,0.005143,0.021587,-0.001375,-0.031485,-0.000853,-0.005448
0.007000,0.306722,0.000194,0.486792,0.306723,0.000193,0.486799,0.000001,-0.000001,0.000007,-0.000008,-0.000009,-0.000003,-0.000948,0.001428,-0.001301,0.005217,0.001485,0.001060,0.019091,-0.028666,0.026762,-0.020896,-0.002988,-0.002131,-0.010930,-0.008255,0.003934,0.018050,-0.026928,0.009353,0.002134
0.008000,0.306721,0.000195,0.486789,0.306723,0.000193,0.486799,0.000002,-0.000002,0.000010,-0.000014,-0.000013,0.000001,-0.001137,0.002020,-0.001137,0.008263,0.000369,-0.000541,0.022974,-0.040580,0.023762,-0.033102,-0.000764,0.001086,-0.011370,-0.004504,0.010962,0.014899,-0.041641,0.007678,-0.001079
0.009000,0.306721,0.000195,0.486789,0.306723,0.000193,0.486799,0.000003,-0.000002,0.000011,-0.000015,-0.000015,-0.000002,-0.000769,0.001659,-0.001488,0.005747,0.002620,0.000740,0.015684,-0.033424,0.030824,-0.023042,-0.005269,-0.001485,-0.011744,-0.012311,0.004358,0.021815,-0.030075,0.011274,0.001488
0.010000,0.306719,0.000196,0.486787,0.306723,0.000193,0.486799,0.000004,-0.000003,0.000012,-0.000012,-0.000017,0.000002,-0.001211,0.001121,-0.001398,0.003471,0.001182,-0.001370,0.024734,-0.022725,0.029160,-0.013925,-0.002399,0.002749,-0.004232,-0.007527,0.004385,0.019309,-0.018708,0.010162,-0.002747
0.011000,0.306717,0.000196,0.486786,0.306723,0.000193,0.486799,0.000006,-0.000003,0.000013,-0.000012,-0.000023,-0.000005,-0.001432,0.000760,-0.001219,0.002766,0.001398,0.000223,0.029316,-0.015512,0.025718,-0.011107,-0.002842,-0.000462,-0.005226,-0.006206,0.002467,0.018713,-0.014372,0.011268,0.000463
0.012000,0.306717,0.000196,0.486784,0.306723,0.000193,0.486799,0.000006,-0.000003,0.000015,-0.000012,-0.000026,-0.000009,-0.001511,0.000326,-0.000952,0.000993,-0.000058,0.001129,0.030963,-0.006837,0.020585,-0.004011,0.000065,-0.002289,-0.004394,-0.001466,-0.001020,0.013589,-0.005450,0.008260,0.002290
0.013000,0.306716,0.000200,0.486778,0.306723,0.000193,0.486799,0.000007,-0.000007,0.000021,-0.000005,-0.000041,-0.000023,-0.001799,0.001273,-0.001278,-0.001614,0.001223,0.004562,0.036852,-0.026171,0.027664,0.006439,-0.002528,-0.009204,-0.017253,-0.005334,-0.019617,0.020274,0.000928,0.012718,0.009201
0.014000,0.306716,0.000198,0.486777,0.306723,0.000193,0.486799,0.000007,-0.000005,0.000022,-0.000006,-0.000042,-0.000016,-0.001599,0.001158,-0.000603,0.003929,-0.001211,0.000409,0.032865,-0.023686,0.014302,-0.015737,0.002340,-0.000874,-0.008149,0.003035,0.002791,0.008582,-0.020723,0.005828,0.000878
0.015000,0.306714,0.000199,0.486775,0.306723,0.000193,0.486799,0.000009,-0.000006,0.000025,-0.000004,-0.000049,-0.000014,-0.001418,0.001017,-0.000760,0.001433,0.000643,-0.000579,0.029388,-0.020984,0.017665,-0.005747,-0.001385,0.001110,-0.005338,-0.002267,-0.001991,0.013461,-0.010165,0.009119,-0.001109
0.016000,0.306714,0.000203,0.486772,0.306723,0.000193,0.486799,0.000009,-0.000010,0.000027,-0.000004,-0.000053,-0.000021,-0.001092,0.003257,-0.000832,0.002718,0.000480,0.003680,0.022948,-0.066096,0.019381,-0.010885,-0.001067,-0.007433,-0.027726,-0.003483,-0.019102,0.013114,-0.024796,0.007593,0.007435
0.017000,0.306715,0.000203,0.486767,0.306723,0.000193,0.486799,0.000008,-0.000010,0.000032,-0.000006,-0.000068,-0.000024,-0.000269,0.002669,-0.001253,0.002345,0.003052,0.004012,0.006304,-0.054418,0.028246,-0.009401,-0.006240,-0.008107,-0.024806,-0.013946,-0.016809,0.020359,-0.020853,0.010047,0.008107
0.018000,0.306714,0.000203,0.486763,0.306723,0.000193,0.486799,0.000009,-0.000010,0.000036,-0.000009,-0.000079,-0.000024,-0.000398,0.001442,-0.000840,0.002038,0.001723,0.002532,0.009054,-0.029857,0.020384,-0.008183,-0.003604,-0.005149,-0.014311,-0.008466,-0.007578,0.014376,-0.014465,0.007300,0.005149
0.019000,0.306713,0.000205,0.486759,0.306723,0.000193,0.486799,0.000011,-0.000012,0.000040,-0.000010,-0.000089,-0.000029,-0.000624,0.001237,-0.001156,0.000640,0.002121,0.001511,0.013741,-0.025960,0.027131,-0.002597,-0.004420,-0.003125,-0.011096,-0.010630,-0.008835,0.018975,-0.008060,0.009696,0.003124
0.020000,0.306713,0.000207,0.486756,0.306723,0.000193,0.486799,0.000010,-0.000014,0.000043,-0.000014,-0.000096,-0.000030,-0.000369,0.001040,-0.002146,0.000393,0.004654,0.000657,0.008633,-0.022185,0.047229,-0.001623,-0.009500,-0.001419,-0.008230,-0.022676,-0.007089,0.032889,-0.006291,0.015467,0.001415
0.021000,0.306711,0.000207,0.486753,0.306723,0.000193,0.486799,0.000012,-0.000014,0.000046,-0.000023,-0.000103,-0.000026,-0.000747,0.000323,-0.002959,0.001644,0.006510,-0.001086,0.016336,-0.007834,0.063806,-0.006653,-0.013226,0.002082,-0.000325,-0.030310,0.003619,0.045426,-0.008301,0.022267,-0.002086
0.022000,0.306711,0.000210,0.486749,0.306723,0.000193,0.486799,0.000013,-0.000017,0.000050,-0.000024,-0.000113,-0.000035,-0.000740,0.000880,-0.003601,-0.000018,0.007529,0.002203,0.016313,-0.019253,0.076995,-0.000010,-0.015283,-0.004527,-0.010440,-0.036436,-0.009474,0.053705,-0.004060,0.025482,0.004519
0.023000,0.306709,0.000209,0.486746,0.306723,0.000193,0.486799,0.000014,-0.000016,0.000054,-0.000034,-0.000123,-0.000028,-0.000897,0.000024,-0.003950,0.001999,0.008882,-0.000811,0.019582,-0.002061,0.084365,-0.008114,-0.018011,0.001525,0.000894,-0.040926,0.006147,0.060330,-0.008546,0.029541,-0.001531
0.024000,0.306707,0.000210,0.486741,0.306723,0.000193,0.486799,0.000016,-0.000017,0.000058,-0.000038,-0.000134,-0.000036,-0.001041,-0.000175,-0.003377,0.001160,0.007693,0.000419,0.022722,0.001819,0.073380,-0.004774,-0.015655,-0.000963,-0.000407,-0.034702,0.003284,0.053193,-0.004389,0.026883,0.000957
0.025000,0.306706,0.000212,0.486739,0.306723,0.000193,0.486799,0.000017,-0.000019,0.000060,-0.000041,-0.000139,-0.000033,-0.001040,-0.000032,-0.001432,0.000600,0.003366,-0.001859,0.022900,-0.001249,0.034649,-0.002541,-0.007010,0.003604,0.003216,-0.014117,0.003934,0.026290,-0.002805,0.014873,-0.003607
0.026000,0.306705,0.000213,0.486736,0.306723,0.000193,0.486799,0.000018,-0.000020,0.000063,-0.000052,-0.000141,-0.000031,-0.000570,0.000262,-0.000842,0.002218,0.000779,-0.001545,0.013595,-0.007260,0.023171,-0.009056,-0.001840,0.002980,0.000751,-0.006854,0.006146,0.014511,-0.010583,0.006734,-0.002978
0.027000,0.306702,0.000214,0.486731,0.306723,0.000193,0.486799,0.000021,-0.000021,0.000068,-0.000055,-0.000154,-0.000034,-0.000924,0.001029,-0.002058,0.005511,0.003487,-0.000037,0.020984,-0.022664,0.047989,-0.022236,-0.007282,-0.000045,-0.007001,-0.018777,0.008314,0.032607,-0.027003,0.015909,0.000049
0.028000,0.306701,0.000216,0.486726,0.306723,0.000193,0.486799,0.000022,-0.000023,0.000073,-0.000061,-0.000164,-0.000038,-0.000954,0.000946,-0.002950,0.003421,0.005246,0.001425,0.021728,-0.021216,0.066297,-0.013898,-0.010819,-0.002984,-0.009498,-0.027832,0.000804,0.044881,-0.018361,0.021214,0.002984
0.029000,0.306698,0.000216,0.486723,0.306723,0.000193,0.486799,0.000025,-0.000023,0.000076,-0.000062,-0.000168,-0.000034,-0.001459,0.000403,-0.003446,0.000871,0.006010,-0.000521,0.032143,-0.010382,0.076553,-0.003702,-0.012356,0.000924,-0.002272,-0.030916,-0.000126,0.052590,-0.005885,0.025845,-0.000928
0.030000,0.306698,0.000218,0.486718,0.306723,0.000193,0.486799,0.000025,-0.000025,0.000082,-0.000063,-0.000178,-0.000039,-0.001806,0.000465,-0.005684,-0.000703,0.011566,0.000225,0.039125,-0.011769,0.121837,0.002595,-0.023489,-0.000586,-0.004211,-0.054936,-0.006110,0.085994,0.000119,0.042424,0.000573
0.031000,0.306695,0.000219,0.486713,0.306723,0.000193,0.486799,0.000028,-0.000026,0.000087,-0.000068,-0.000189,-0.000038,-0.001965,0.000114,-0.005614,0.000287,0.011186,-0.000586,0.042655,-0.004913,0.120947,-0.001386,-0.022750,0.001038,-0.000472,-0.053371,0.000106,0.085285,-0.002417,0.042348,-0.001049
0.032000,0.306694,0.000221,0.486712,0.306723,0.000193,0.486799,0.000029,-0.000028,0.000087,-0.000070,-0.000189,-0.000048,-0.001146,0.001007,-0.002890,0.004168,0.005036,0.001652,0.026355,-0.022906,0.066543,-0.016915,-0.010450,-0.003471,-0.010504,-0.026822,0.002044,0.045218,-0.021733,0.021840,0.003472
0.033000,0.306693,0.000223,0.486704,0.306723,0.000193,0.486799,0.000030,-0.000030,0.000095,-0.000069,-0.000206,-0.000055,-0.000850,0.001351,-0.002991,0.002681,0.005617,0.002209,0.020616,-0.030073,0.069323,-0.010966,-0.011645,-0.004609,-0.013843,-0.029762,-0.005307,0.046992,-0.017292,0.022072,0.004608
0.034000,0.306691,0.000222,0.486699,0.306723,0.000193,0.486799,0.000032,-0.000029,0.000100,-0.000073,-0.000217,-0.000044,-0.000986,0.000676,-0.003538,0.002782,0.007017,-0.001206,0.023517,-0.016389,0.080790,-0.011386,-0.014468,0.002258,-0.002776,-0.035665,0.004302,0.055601,-0.014833,0.026510,-0.002260
0.035000,0.306690,0.000222,0.486689,0.306723,0.000193,0.486799,0.000033,-0.000029,0.000110,-0.000079,-0.000242,-0.000045,-0.001297,0.000410,-0.005337,0.003356,0.011792,-0.000762,0.029951,-0.011137,0.117787,-0.013700,-0.024068,0.001367,-0.002046,-0.055677,0.007033,0.083484,-0.016040,0.040709,-0.001374
0.036000,0.306689,0.000225,0.486687,0.306723,0.000193,0.486799,0.000034,-0.000032,0.000113,-0.000083,-0.000245,-0.000048,-0.001192,0.000712,-0.004438,0.002252,0.009337,0.000443,0.027928,-0.017393,0.100019,-0.009296,-0.019164,-0.001053,-0.006391,-0.045605,0.000162,0.069937,-0.012953,0.033823,0.001047
