time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306843,0.000198,0.486887,0.306842,0.000198,0.486887,0.306842,0.000201,0.486879,-0.000001,0.000000,0.000000,-0.000003,0.000016,0.000000,0.000675,-0.001255,0.004279,0.000000,0.000000,0.000000,0.002505,-0.009410,-0.003676,-0.141636,0.025101,-0.085582,-0.141636,0.025101,-0.085582,-0.010031,0.028277,0.011027,-0.010031,0.028277,0.011027,0.018750,0.032669,0.023087,-0.086786,-0.004748,-0.065628,-0.011015,0.018750,0.032669,0.023087,-0.086786,-0.004748,-0.065628,-0.011015
0.001000,0.306846,0.000197,0.486888,0.306842,0.000197,0.486888,0.306842,0.000201,0.486879,-0.000004,0.000000,0.000000,-0.000002,0.000020,0.000000,0.001431,-0.000919,0.004160,0.000000,0.000000,0.000000,0.001417,-0.008672,-0.002101,-0.306573,0.018387,-0.083209,-0.306573,0.018387,-0.083209,-0.005676,0.026074,0.006304,-0.005676,0.026074,0.006304,0.012001,0.004375,0.014504,-0.104543,-0.001799,-0.097907,-0.006291,0.012001,0.004375,0.014504,-0.104543,-0.001799,-0.097907,-0.006291
0.002000,0.306846,0.000196,0.486889,0.306842,0.000196,0.486889,0.306842,0.000201,0.486879,-0.000005,0.000000,0.000000,-0.000005,0.000019,0.000000,0.000408,-0.001197,0.001158,0.000000,0.000000,0.000000,0.001226,-0.001963,-0.004597,-0.104634,0.023948,-0.023158,-0.104634,0.023948,-0.023158,-0.004925,0.005947,0.013791,-0.004925,0.005947,0.013791,0.021156,-0.003058,0.021044,-0.030255,0.000117,-0.030008,-0.013789,0.021156,-0.003058,0.021044,-0.030255,0.000117,-0.030008,-0.013789
0.003000,0.306848,0.000198,0.486893,0.306842,0.000198,0.486893,0.306842,0.000201,0.486879,-0.000007,0.000000,0.000000,-0.000003,0.000026,0.000000,0.000932,0.002166,0.001705,0.000000,0.000000,0.000000,-0.002566,-0.002685,0.003510,-0.219114,-0.043323,-0.034100,-0.219114,-0.043323,-0.034100,0.010253,0.008133,-0.010530,0.010253,0.008133,-0.010530,-0.023759,-0.015137,-0.028739,-0.052262,0.001147,-0.057228,0.010538,-0.023759,-0.015137,-0.028739,-0.052262,0.001147,-0.057228,0.010538
0.004000,0.306849,0.000197,0.486894,0.306842,0.000197,0.486894,0.306842,0.000201,0.486879,-0.000007,0.000000,0.000000,-0.000003,0.000031,0.000000,0.000733,0.002643,0.001255,0.000000,0.000000,0.000000,-0.003916,-0.001665,0.006640,-0.182169,-0.052858,-0.025109,-0.182169,-0.052858,-0.025109,0.015653,0.005087,-0.019921,0.015653,0.005087,-0.019921,-0.036091,-0.015293,-0.042314,-0.040229,0.004539,-0.045613,0.019929,-0.036091,-0.015293,-0.042314,-0.040229,0.004539,-0.045613,0.019929
0.005000,0.306849,0.000199,0.486893,0.306842,0.000199,0.486893,0.306842,0.000201,0.486879,-0.000007,0.000000,0.000000,-0.000008,0.000035,0.000000,0.000877,0.003087,0.001152,0.000000,0.000000,0.000000,0.001248,-0.006732,0.005318,-0.210938,-0.061750,-0.023039,-0.210938,-0.061750,-0.023039,-0.005026,0.020301,-0.015953,-0.005026,0.020301,-0.015953,-0.034857,-0.005132,-0.027809,-0.058142,-0.018008,-0.066702,0.015962,-0.034857,-0.005132,-0.027809,-0.058142,-0.018008,-0.066702,0.015962
0.006000,0.306850,0.000202,0.486894,0.306842,0.000202,0.486894,0.306842,0.000201,0.486879,-0.000008,0.000000,0.000000,-0.000011,0.000041,0.000000,0.001206,0.003733,0.000975,0.000000,0.000000,0.000000,0.000228,-0.006119,0.011216,-0.283215,-0.074654,-0.019491,-0.283215,-0.074654,-0.019491,-0.000958,0.018482,-0.033649,-0.000958,0.018482,-0.033649,-0.056493,-0.019183,-0.047374,-0.063882,-0.016651,-0.079766,0.033660,-0.056493,-0.019183,-0.047374,-0.063882,-0.016651,-0.079766,0.033660
0.007000,0.306851,0.000203,0.486895,0.306842,0.000203,0.486895,0.306842,0.000201,0.486879,-0.000010,0.000000,0.000000,-0.000015,0.000048,0.000000,0.000939,0.002608,0.001137,0.000000,0.000000,0.000000,0.001124,-0.007329,0.004842,-0.236233,-0.052157,-0.022741,-0.236233,-0.052157,-0.022741,-0.004556,0.022133,-0.014527,-0.004556,0.022133,-0.014527,-0.030484,-0.007274,-0.024008,-0.063065,-0.015517,-0.073828,0.014538,-0.030484,-0.007274,-0.024008,-0.063065,-0.015517,-0.073828,0.014538
0.008000,0.306851,0.000204,0.486896,0.306842,0.000204,0.486896,0.306842,0.000201,0.486879,-0.000009,0.000000,0.000000,-0.000013,0.000057,0.000000,0.000730,0.002541,0.003905,0.000000,0.000000,0.000000,-0.000044,-0.013144,0.008009,-0.193262,-0.050827,-0.078098,-0.193262,-0.050827,-0.078098,0.000123,0.039605,-0.024027,0.000123,0.039605,-0.024027,-0.039586,0.033746,-0.033627,-0.101184,-0.010565,-0.087137,0.024050,-0.039586,0.033746,-0.033627,-0.101184,-0.010565,-0.087137,0.024050
0.009000,0.306850,0.000205,0.486897,0.306842,0.000205,0.486897,0.306842,0.000201,0.486879,-0.000008,0.000000,0.000000,-0.000015,0.000060,0.000000,-0.000113,0.001918,0.002668,0.000000,0.000000,0.000000,-0.000305,-0.009723,0.004405,-0.019667,-0.038360,-0.053369,-0.019667,-0.038360,-0.053369,0.001159,0.029352,-0.013216,0.001159,0.029352,-0.013216,-0.024988,0.042666,-0.022679,-0.057080,-0.006913,-0.038190,0.013234,-0.024988,0.042666,-0.022679,-0.057080,-0.006913,-0.038190,0.013234
0.010000,0.306848,0.000207,0.486898,0.306842,0.000207,0.486898,0.306842,0.000201,0.486879,-0.000007,0.000000,0.000000,-0.000013,0.000063,0.000000,-0.000108,0.001943,0.002694,0.000000,0.000000,0.000000,-0.000947,-0.008150,0.005275,-0.011911,-0.038851,-0.053886,-0.011911,-0.038851,-0.053886,0.003733,0.024641,-0.015824,0.003733,0.024641,-0.015824,-0.027748,0.039301,-0.026511,-0.051614,-0.004444,-0.031891,0.015839,-0.027748,0.039301,-0.026511,-0.051614,-0.004444,-0.031891,0.015839
