time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306833,0.000051,0.486990,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,0.000000,0.000000,0.000000,0.001119,-0.002695,-0.001385,-0.022375,0.053907,0.027706,0.016547,-3.888570,-0.691156,21.860754,0.776943,2.248886,-0.000001
0.001000,0.306834,0.000050,0.486989,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000001,0.000000,0.000001,0.001688,-0.001196,-0.000041,-0.033871,0.023953,0.000901,0.007317,-3.882257,-0.700829,21.846725,0.770670,2.244119,-0.000001
0.002000,0.306836,0.000050,0.486983,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000003,0.000000,0.000007,0.001966,-0.000222,-0.002509,-0.039597,0.004483,0.050900,0.001370,-3.898813,-0.706889,21.869621,0.766604,2.247286,-0.000001
0.003000,0.306836,0.000048,0.486978,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000003,0.000002,0.000012,0.000944,-0.000150,-0.003028,-0.019153,0.003225,0.061719,0.001007,-3.899183,-0.707040,21.877381,0.766370,2.252520,-0.000002
0.004000,0.306836,0.000047,0.486974,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000003,0.000003,0.000016,0.000990,-0.000557,-0.002625,-0.020109,0.011464,0.054131,0.003526,-3.897211,-0.704269,21.873730,0.768114,2.251633,-0.000002
0.005000,0.306835,0.000045,0.486969,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000003,0.000005,0.000021,0.001366,-0.002250,-0.000437,-0.027578,0.045522,0.010859,0.013943,-3.885324,-0.693021,21.852344,0.775285,2.246223,-0.000002
0.006000,0.306836,0.000046,0.486965,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000004,0.000004,0.000025,0.002618,-0.000620,0.000487,-0.052717,0.012846,-0.007219,0.003886,-3.883897,-0.703559,21.840625,0.768407,2.239324,-0.000002
0.007000,0.306840,0.000047,0.486960,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000007,0.000004,0.000031,0.003501,-0.000565,-0.000364,-0.070741,0.011704,0.010336,0.003565,-3.892438,-0.703798,21.846721,0.768169,2.237072,-0.000001
0.008000,0.306847,0.000043,0.486960,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000014,0.000008,0.000030,0.005425,-0.001440,0.000942,-0.109897,0.029581,-0.015840,0.009036,-3.890677,-0.697732,21.829464,0.771937,2.226572,-0.000000
0.009000,0.306857,0.000046,0.486965,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.000024,0.000004,0.000025,0.006825,0.001277,0.003535,-0.138882,-0.025120,-0.068179,-0.007707,-3.879272,-0.715546,21.801248,0.760436,2.215945,0.000001
