time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306901,-0.000096,0.486771,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000003,0.000006,0.000004,-0.000015,-0.000011,0.000013,-0.001199,-0.002432,-0.001838,0.000000,0.000000,0.000000,0.010307,0.005155,-0.003145,0.025413,0.051647,0.038653,-0.036120,-0.018077,0.011046,0.026947,-0.025885,0.050243,0.039413,-0.025255,0.026819,-0.011039
0.002000,0.306898,-0.000105,0.486772,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000005,0.000015,0.000003,-0.000034,-0.000012,0.000031,-0.001799,-0.005451,-0.001507,0.000000,0.000000,0.000000,0.002969,0.004654,-0.006706,0.038622,0.116720,0.031609,-0.010492,-0.016325,0.023564,0.059445,-0.020000,0.062168,0.036001,0.014062,0.027218,-0.023557
0.003000,0.306897,-0.000111,0.486767,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000007,0.000021,0.000008,-0.000043,-0.000027,0.000038,-0.001575,-0.006571,-0.001202,0.000000,0.000000,0.000000,-0.001236,0.005236,-0.010639,0.034888,0.141746,0.027814,0.004196,-0.018407,0.037349,0.080890,-0.021676,0.069666,0.035929,0.034011,0.028184,-0.037342
0.004000,0.306895,-0.000111,0.486760,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000009,0.000021,0.000014,-0.000054,-0.000046,0.000037,-0.001809,-0.004342,-0.002395,0.000000,0.000000,0.000000,0.003206,0.008574,0.001931,0.040505,0.097475,0.054912,-0.011380,-0.030147,-0.006647,0.023317,-0.040817,0.035165,0.061187,0.009136,0.043483,0.006660
0.005000,0.306893,-0.000116,0.486757,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000010,0.000026,0.000017,-0.000062,-0.000048,0.000043,-0.001227,-0.003912,-0.001844,0.000000,0.000000,0.000000,0.004245,0.006056,0.000663,0.029664,0.091016,0.045586,-0.015043,-0.021342,-0.002193,0.025778,-0.030798,0.038785,0.046590,0.004110,0.031581,0.002202
0.006000,0.306893,-0.000119,0.486748,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000011,0.000029,0.000027,-0.000070,-0.000066,0.000054,-0.000631,-0.004346,-0.004996,0.000000,0.000000,0.000000,0.006431,0.012696,-0.003450,0.017912,0.101578,0.113231,-0.022718,-0.044635,0.012238,0.043491,-0.076749,0.057927,0.100275,-0.001345,0.058344,-0.012220
0.007000,0.306893,-0.000125,0.486743,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000011,0.000035,0.000031,-0.000083,-0.000072,0.000068,-0.000297,-0.002994,-0.005661,0.000000,0.000000,0.000000,0.016105,0.013151,-0.006344,0.011286,0.077375,0.128682,-0.056617,-0.046244,0.022408,0.046237,-0.084178,0.081206,0.108336,-0.040339,0.059927,-0.022387
0.008000,0.306893,-0.000131,0.486738,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000011,0.000041,0.000036,-0.000088,-0.000079,0.000070,-0.000661,-0.003212,-0.006039,0.000000,0.000000,0.000000,0.012753,0.011909,-0.003610,0.018797,0.084652,0.138899,-0.044900,-0.041920,0.012846,0.038927,-0.081831,0.068561,0.109805,-0.027086,0.058077,-0.012828
0.009000,0.306892,-0.000134,0.486730,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000012,0.000044,0.000045,-0.000094,-0.000096,0.000076,-0.000325,-0.002754,-0.006735,0.000000,0.000000,0.000000,0.010448,0.013829,-0.003872,0.012298,0.076845,0.156986,-0.036848,-0.048690,0.013780,0.037454,-0.095164,0.060974,0.124285,-0.020678,0.065066,-0.013759
0.010000,0.306892,-0.000139,0.486723,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000012,0.000049,0.000051,-0.000101,-0.000108,0.000088,-0.000650,-0.003207,-0.007554,0.000000,0.000000,0.000000,0.009867,0.015744,-0.005963,0.018838,0.088808,0.176687,-0.034838,-0.055427,0.021135,0.048496,-0.107002,0.068662,0.141161,-0.016150,0.074909,-0.021113
0.011000,0.306894,-0.000144,0.486718,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000010,0.000054,0.000057,-0.000109,-0.000119,0.000099,-0.000338,-0.003203,-0.007932,0.000000,0.000000,0.000000,0.009086,0.017932,-0.007751,0.011803,0.091031,0.186988,-0.032127,-0.063121,0.027426,0.055454,-0.118966,0.071890,0.152809,-0.012976,0.082025,-0.027401
0.012000,0.306894,-0.000148,0.486712,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000010,0.000058,0.000063,-0.000113,-0.000132,0.000108,-0.000497,-0.002913,-0.006510,0.000000,0.000000,0.000000,0.007947,0.015446,-0.007574,0.015026,0.087329,0.161509,-0.028152,-0.054455,0.026832,0.053703,-0.101903,0.067424,0.132553,-0.009781,0.071808,-0.026810
0.013000,0.306893,-0.000154,0.486704,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000011,0.000064,0.000071,-0.000123,-0.000154,0.000118,-0.000873,-0.003334,-0.007134,0.000000,0.000000,0.000000,0.008845,0.018198,-0.007629,0.022795,0.098521,0.177975,-0.031324,-0.064156,0.027057,0.057387,-0.115492,0.073514,0.151000,-0.010594,0.084585,-0.027031
0.014000,0.306894,-0.000159,0.486693,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000009,0.000069,0.000081,-0.000127,-0.000186,0.000130,-0.000697,-0.002586,-0.008314,0.000000,0.000000,0.000000,0.006331,0.022294,-0.006348,0.018688,0.086231,0.206760,-0.022540,-0.078586,0.022609,0.049134,-0.139451,0.060083,0.178506,-0.004396,0.100673,-0.022579
0.015000,0.306893,-0.000164,0.486684,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000010,0.000074,0.000091,-0.000132,-0.000212,0.000139,-0.000643,-0.003044,-0.009355,0.000000,0.000000,0.000000,0.006075,0.025017,-0.006177,0.018043,0.098060,0.232541,-0.021659,-0.088195,0.022035,0.052196,-0.157149,0.062905,0.200181,-0.001025,0.112399,-0.022002
0.016000,0.306895,-0.000167,0.486677,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000009,0.000077,0.000097,-0.000137,-0.000228,0.000147,0.000076,-0.002911,-0.008937,0.000000,0.000000,0.000000,0.006028,0.023929,-0.006768,0.003094,0.096697,0.227367,-0.021508,-0.084436,0.024127,0.053859,-0.154056,0.063828,0.192031,-0.001166,0.105039,-0.024095
0.017000,0.306896,-0.000172,0.486667,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000008,0.000082,0.000108,-0.000145,-0.000254,0.000161,0.000398,-0.003836,-0.007828,0.000000,0.000000,0.000000,0.007342,0.021471,-0.009804,-0.004148,0.117770,0.210339,-0.026131,-0.075911,0.034797,0.070981,-0.141390,0.081459,0.174531,-0.001365,0.093498,-0.034767
0.018000,0.306896,-0.000178,0.486656,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000007,0.000088,0.000118,-0.000148,-0.000279,0.000174,0.000016,-0.004190,-0.008114,0.000000,0.000000,0.000000,0.007599,0.020946,-0.011741,0.003372,0.127591,0.221390,-0.027042,-0.074150,0.041618,0.080832,-0.141909,0.090142,0.178970,-0.000211,0.094291,-0.041588
0.019000,0.306897,-0.000181,0.486646,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000007,0.000091,0.000129,-0.000156,-0.000305,0.000183,-0.000277,-0.004203,-0.010554,0.000000,0.000000,0.000000,0.007515,0.026244,-0.010682,0.009105,0.129761,0.275388,-0.026769,-0.092767,0.037937,0.077863,-0.176366,0.088133,0.223774,0.000529,0.118836,-0.037901
0.020000,0.306898,-0.000186,0.486636,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000006,0.000096,0.000138,-0.000159,-0.000326,0.000190,-0.000830,-0.004452,-0.010911,0.000000,0.000000,0.000000,0.008159,0.026048,-0.009756,0.019586,0.137180,0.287259,-0.029034,-0.092146,0.034716,0.076945,-0.177823,0.089910,0.230122,-0.000169,0.121461,-0.034679
0.021000,0.306900,-0.000189,0.486628,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000004,0.000099,0.000147,-0.000161,-0.000349,0.000200,0.000288,-0.004181,-0.008653,0.000000,0.000000,0.000000,0.000822,0.022086,-0.007696,-0.003719,0.133303,0.246375,-0.003361,-0.078347,0.027535,0.068489,-0.154854,0.065285,0.194035,0.024677,0.099173,-0.027511
0.022000,0.306900,-0.000193,0.486619,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000004,0.000103,0.000155,-0.000165,-0.000366,0.000207,0.000352,-0.005292,-0.007567,0.000000,0.000000,0.000000,0.002691,0.019196,-0.011012,-0.005060,0.157421,0.228906,-0.009912,-0.068283,0.039164,0.087508,-0.139634,0.085949,0.175564,0.023188,0.087297,-0.039140
0.023000,0.306902,-0.000198,0.486609,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000002,0.000108,0.000166,-0.000166,-0.000390,0.000222,0.000248,-0.005437,-0.009793,0.000000,0.000000,0.000000,0.004103,0.024524,-0.012814,-0.004014,0.162932,0.278779,-0.014857,-0.087005,0.045516,0.095569,-0.173659,0.095730,0.217926,0.019403,0.110602,-0.045485
