time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306737,0.000009,0.486821,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000006,0.000009,-0.000000,-0.000001,-0.000003,0.000020,0.001544,-0.002004,-0.001856,0.000000,0.000000,0.000000,-0.000330,0.006651,-0.006179,-0.016012,0.020938,0.018515,0.001150,-0.023286,0.021687,0.028094,-0.031428,0.021279,0.029924,0.005557,0.021525,-0.021699
0.001000,0.306739,0.000006,0.486820,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000007,0.000011,0.000000,-0.000004,-0.000009,0.000024,0.001674,-0.001903,-0.000312,0.000000,0.000000,0.000000,-0.000065,0.002539,-0.005369,-0.017460,0.020151,0.003164,0.000216,-0.008913,0.018864,0.025031,-0.012557,0.019697,0.008136,0.004454,0.005502,-0.018869
0.002000,0.306741,0.000001,0.486820,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000009,0.000016,0.000000,-0.000006,-0.000008,0.000033,0.000310,-0.002485,-0.003490,0.000000,0.000000,0.000000,-0.000118,0.012609,-0.005031,-0.003985,0.026499,0.034938,0.000394,-0.044155,0.017705,0.025827,-0.055539,0.020822,0.060093,0.005979,0.046365,-0.017727
0.003000,0.306742,-0.000002,0.486818,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000011,0.000019,0.000003,-0.000012,-0.000016,0.000045,0.001303,-0.003343,-0.001703,0.000000,0.000000,0.000000,-0.000962,0.006414,-0.008959,-0.014079,0.035338,0.017293,0.003330,-0.022497,0.031491,0.042307,-0.029993,0.031313,0.028814,0.010766,0.021025,-0.031503
0.004000,0.306745,-0.000001,0.486817,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000013,0.000018,0.000003,-0.000022,-0.000016,0.000047,0.001773,-0.002050,-0.001222,0.000000,0.000000,0.000000,-0.001477,0.003424,-0.006539,-0.019007,0.022346,0.012574,0.005104,-0.012031,0.023027,0.029866,-0.018806,0.019884,0.015492,0.009805,0.009116,-0.023034
0.005000,0.306744,-0.000006,0.486814,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000012,0.000023,0.000006,-0.000034,-0.000025,0.000059,0.001577,-0.003255,-0.000914,0.000000,0.000000,0.000000,0.002454,0.002843,-0.009043,-0.016974,0.034858,0.009783,-0.008692,-0.010025,0.031829,0.042500,-0.015674,0.039931,0.012431,-0.001361,0.007286,-0.031832
0.006000,0.306743,-0.000008,0.486813,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000012,0.000026,0.000008,-0.000043,-0.000031,0.000061,0.000112,-0.003487,0.000592,0.000000,0.000000,0.000000,0.004030,-0.000712,-0.006919,-0.002288,0.037441,-0.005121,-0.014234,0.002398,0.024400,0.035881,0.003553,0.039498,-0.005127,-0.006359,-0.003353,-0.024396
0.007000,0.306744,-0.000012,0.486811,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000012,0.000030,0.000010,-0.000049,-0.000032,0.000075,-0.000493,-0.003727,0.000407,0.000000,0.000000,0.000000,0.005857,-0.001206,-0.009581,0.003727,0.040249,-0.003086,-0.020648,0.004124,0.033759,0.046114,0.005566,0.051593,-0.005135,-0.012179,-0.003641,-0.033752
0.008000,0.306744,-0.000017,0.486809,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000012,0.000035,0.000012,-0.000059,-0.000037,0.000090,-0.000579,-0.003316,0.001135,0.000000,0.000000,0.000000,0.005467,-0.002988,-0.009864,0.004587,0.036638,-0.010169,-0.019311,0.010349,0.034793,0.046039,0.014102,0.050209,-0.014586,-0.011605,-0.010307,-0.034783
0.009000,0.306743,-0.000020,0.486807,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000011,0.000038,0.000014,-0.000064,-0.000042,0.000097,-0.000747,-0.003172,-0.000314,0.000000,0.000000,0.000000,0.005694,-0.000268,-0.008448,0.006375,0.035523,0.004544,-0.020122,0.000813,0.029858,0.040771,0.000346,0.046937,0.002118,-0.012645,0.000904,-0.029853
0.010000,0.306742,-0.000023,0.486807,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000010,0.000041,0.000013,-0.000072,-0.000038,0.000099,-0.000786,-0.003313,-0.000208,0.000000,0.000000,0.000000,0.005751,-0.001104,-0.006532,0.006875,0.037187,0.003420,-0.020344,0.003749,0.023158,0.034584,0.003717,0.042902,-0.001302,-0.012518,-0.002024,-0.023152
0.011000,0.306739,-0.000026,0.486803,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000007,0.000044,0.000018,-0.000080,-0.000049,0.000110,-0.000945,-0.003567,-0.001359,0.000000,0.000000,0.000000,0.006739,0.001760,-0.008322,0.008707,0.040064,0.015350,-0.023826,-0.006306,0.029458,0.041781,-0.009730,0.050773,0.014612,-0.015388,0.009460,-0.029456
0.012000,0.306738,-0.000030,0.486799,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000006,0.000047,0.000022,-0.000085,-0.000061,0.000117,-0.000809,-0.003438,-0.001779,0.000000,0.000000,0.000000,0.005790,0.003954,-0.008803,0.007469,0.039083,0.019957,-0.020520,-0.014022,0.031159,0.043177,-0.019048,0.049308,0.024349,-0.012286,0.017320,-0.031162
0.013000,0.306736,-0.000030,0.486795,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000004,0.000048,0.000026,-0.000094,-0.000073,0.000118,-0.001008,-0.002934,-0.002030,0.000000,0.000000,0.000000,0.006256,0.005201,-0.007012,0.009648,0.034108,0.022885,-0.022178,-0.018423,0.024895,0.035389,-0.023999,0.044436,0.030415,-0.014989,0.022443,-0.024900
0.014000,0.306736,-0.000033,0.486792,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,-0.000004,0.000051,0.000029,-0.000100,-0.000082,0.000118,-0.001083,-0.003225,-0.003270,0.000000,0.000000,0.000000,0.006352,0.008519,-0.005258,0.010428,0.037303,0.035552,-0.022533,-0.030061,0.018756,0.030246,-0.039422,0.041413,0.048120,-0.014665,0.035358,-0.018768
