time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306906,-0.000282,0.486648,0.306904,-0.000282,0.486648,0.306904,-0.000284,0.486648,-0.000280,-0.743324,-0.000996,0.000000,0.000000,0.000000,0.001243,0.001366,-0.000631,0.000000,0.000000,0.000000,0.001536,0.003391,0.003080,-0.339106,-74.359742,-0.086972,-0.036482,-7.999911,-0.009357,-0.006143,-0.010174,-0.009241,-0.006143,-0.010174,-0.009241,-2.464702,-0.016182,-2.609583,0.001442,-1.692081,0.005280,0.005646,-1.000000,-0.016182,-1.000000,0.001442,-1.000000,0.005280,0.005646
0.001000,0.306906,-0.000282,0.486650,0.306904,-0.000282,0.486650,0.306904,-0.000284,0.486648,-0.000279,-0.743327,-0.000995,0.000000,0.000000,0.000000,0.000479,0.000904,-0.000540,0.000000,0.000000,0.000000,-0.000866,0.002046,0.001675,-0.216285,-74.350821,-0.088716,-0.023272,-7.999960,-0.009546,0.003464,-0.006139,-0.005026,0.003464,-0.006139,-0.005026,-2.458050,-0.008091,-2.615101,-0.000152,-1.681272,0.002160,0.001288,-2.000000,-0.008091,-2.000000,-0.000152,-1.681272,0.002160,0.001288
0.002000,0.306906,-0.000283,0.486651,0.306904,-0.000283,0.486651,0.306904,-0.000284,0.486648,-0.000279,-0.743333,-0.000997,0.000000,0.000000,0.000000,-0.000447,0.000300,-0.002389,0.000000,0.000000,0.000000,0.001981,0.006970,0.000752,-0.067864,-74.339278,-0.051960,-0.007303,-7.999995,-0.005592,-0.007923,-0.020910,-0.002256,-0.007923,-0.020910,-0.002256,-2.455294,-0.022685,-2.602581,0.021223,-1.693713,0.019904,-0.000607,-2.455294,-0.022685,-2.602581,0.021223,-1.693713,0.019904,-0.000607
0.003000,0.306905,-0.000283,0.486654,0.306904,-0.000283,0.486654,0.306904,-0.000284,0.486648,-0.000278,-0.743345,-0.000997,0.000000,0.000000,0.000000,-0.000847,0.000623,-0.000377,0.000000,0.000000,0.000000,0.006418,0.002395,0.000955,-0.003446,-74.346926,-0.092210,-0.000371,-7.999994,-0.009922,-0.025673,-0.007184,-0.002866,-0.025673,-0.007184,-0.002866,-2.456908,-0.004059,-2.588495,0.003413,-1.714531,0.007304,0.000566,-2.456908,-0.004059,-2.588495,0.003413,-1.714531,0.007304,0.000566
0.004000,0.306903,-0.000284,0.486656,0.306904,-0.000284,0.486656,0.306904,-0.000284,0.486648,-0.000279,-0.743351,-0.001000,0.000000,0.000000,0.000000,-0.001311,0.000373,-0.000456,0.000000,0.000000,0.000000,0.002908,0.002378,0.000984,0.070181,-74.342547,-0.090931,0.007552,-7.999990,-0.009785,-0.011633,-0.007133,-0.002951,-0.011633,-0.007133,-0.002951,-2.458149,-0.002113,-2.598755,0.004826,-1.697175,0.008229,-0.000687,-2.458149,-0.002113,-2.598755,0.004826,-1.697175,0.008229,-0.000687
0.005000,0.306902,-0.000286,0.486652,0.306904,-0.000286,0.486652,0.306904,-0.000284,0.486648,-0.000279,-0.743335,-0.001007,0.000000,0.000000,0.000000,-0.000999,-0.001423,-0.001903,0.000000,0.000000,0.000000,0.000983,0.001144,-0.002089,0.020459,-74.305020,-0.062677,0.002203,-7.999997,-0.006748,-0.003932,-0.003433,0.006268,-0.003932,-0.003433,0.006268,-2.448280,0.001262,-2.595106,0.006884,-1.685771,-0.000486,-0.010570,-2.448280,0.001262,-2.595106,0.006884,-1.685771,-0.000486,-0.010570
0.006000,0.306901,-0.000291,0.486654,0.306904,-0.000291,0.486654,0.306904,-0.000284,0.486648,-0.000283,-0.743343,-0.001028,0.000000,0.000000,0.000000,-0.001249,-0.003657,-0.000332,0.000000,0.000000,0.000000,0.000385,-0.002584,-0.008442,0.058512,-74.261183,-0.096133,0.006303,-7.999991,-0.010356,-0.001541,0.007752,0.025326,-0.001541,0.007752,0.025326,-2.425481,0.016140,-2.581231,-0.007697,-1.681354,-0.011169,-0.030827,-2.425481,0.016140,-2.581231,-0.007697,-1.681354,-0.011169,-0.030827
0.007000,0.306900,-0.000298,0.486654,0.306904,-0.000298,0.486654,0.306904,-0.000284,0.486648,-0.000286,-0.743341,-0.001051,0.000000,0.000000,0.000000,-0.001034,-0.004515,-0.001147,0.000000,0.000000,0.000000,-0.000737,-0.000853,-0.008233,0.022518,-74.243773,-0.082175,0.002426,-7.999995,-0.008855,0.002949,0.002558,0.024699,0.002949,0.002558,0.024699,-2.427853,0.008880,-2.582402,-0.001015,-1.674007,-0.006723,-0.030017,-2.427853,0.008880,-2.582402,-0.001015,-1.674007,-0.006723,-0.030017
0.008000,0.306901,-0.000308,0.486650,0.306904,-0.000308,0.486650,0.306904,-0.000284,0.486648,-0.000290,-0.743326,-0.001084,0.000000,0.000000,0.000000,-0.000536,-0.007757,-0.001777,0.000000,0.000000,0.000000,-0.004322,0.001166,-0.011823,-0.059520,-74.177417,-0.072892,-0.006419,-7.999994,-0.007861,0.017289,-0.003497,0.035468,0.017289,-0.003497,0.035468,-2.416184,-0.000652,-2.580221,0.004809,-1.652780,-0.001528,-0.040196,-2.416184,-0.000652,-2.580221,0.004809,-1.652780,-0.001528,-0.040196
0.009000,0.306902,-0.000323,0.486650,0.306904,-0.000323,0.486650,0.306904,-0.000284,0.486648,-0.000299,-0.743322,-0.001132,0.000000,0.000000,0.000000,0.000048,-0.012205,-0.001345,0.000000,0.000000,0.000000,-0.011640,-0.000011,-0.018425,-0.157210,-74.088147,-0.086272,-0.016975,-7.999977,-0.009316,0.046562,0.000034,0.055276,0.046562,0.000034,0.055276,-2.392347,0.001265,-2.583413,-0.001464,-1.613711,-0.006899,-0.060096,-2.392347,0.001265,-2.583413,-0.001464,-1.613711,-0.006899,-0.060096
