time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000000,0.306855,0.000042,0.486848,0.326855,0.000042,0.486848,0.020000,0.000000,0.000000,-0.000066,-0.004116,-0.001334,2.001310,0.082322,0.026679,0.025190,-3.585752,-0.681940,22.120787,0.782715,2.673996,-0.000006
0.001000,0.306854,0.000041,0.486848,0.326855,0.000042,0.486848,0.020000,0.000001,0.000000,0.000197,-0.002743,-0.000375,1.996097,0.054969,0.007528,0.016793,-3.580529,-0.690706,22.111064,0.776986,2.671221,-0.000005
0.002000,0.306855,0.000039,0.486845,0.326855,0.000042,0.486848,0.019999,0.000003,0.000003,0.000437,-0.002218,-0.000777,1.991199,0.044669,0.015786,0.013634,-3.583973,-0.693835,22.114384,0.774847,2.670912,-0.000005
0.003000,0.306854,0.000039,0.486845,0.326855,0.000042,0.486848,0.020000,0.000003,0.000003,-0.000419,-0.003265,-0.000295,2.008410,0.065654,0.006215,0.020079,-3.578331,-0.686892,22.112072,0.779285,2.673691,-0.000005
0.004000,0.306854,0.000037,0.486844,0.326855,0.000042,0.486848,0.020001,0.000005,0.000003,-0.000544,-0.002276,0.000223,2.011000,0.046041,-0.004122,0.014059,-3.574694,-0.693097,22.107519,0.775183,2.673326,-0.000005
0.005000,0.306851,0.000038,0.486841,0.326855,0.000042,0.486848,0.020004,0.000004,0.000007,-0.001260,-0.001073,0.000947,2.025556,0.021881,-0.018288,0.006643,-3.568096,-0.700905,22.102707,0.770111,2.675123,-0.000005
0.006000,0.306851,0.000037,0.486839,0.326855,0.000042,0.486848,0.020004,0.000005,0.000009,-0.000458,-0.000033,0.002160,2.009551,0.001197,-0.042300,0.000288,-3.563311,-0.707524,22.089355,0.765763,2.669632,-0.000006
0.007000,0.306853,0.000036,0.486838,0.326855,0.000042,0.486848,0.020002,0.000006,0.000010,-0.001141,-0.000609,0.002063,2.022975,0.012803,-0.040307,0.003849,-3.561789,-0.703583,22.092018,0.768210,2.672648,-0.000005
0.008000,0.306861,0.000039,0.486844,0.326855,0.000042,0.486848,0.019994,0.000003,0.000004,0.001510,0.000417,0.005026,1.969204,-0.008037,-0.100094,-0.002571,-3.551713,-0.710424,22.056975,0.763819,2.656131,-0.000004
0.009000,0.306870,0.000040,0.486853,0.326855,0.000042,0.486848,0.019984,0.000003,-0.000005,0.004058,0.000182,0.006153,1.917273,-0.003363,-0.123574,-0.001127,-3.552295,-0.708867,22.039309,0.764802,2.643233,-0.000002
0.010000,0.306882,0.000039,0.486863,0.326855,0.000042,0.486848,0.019973,0.000004,-0.000015,0.007022,0.000520,0.008119,1.856820,-0.010039,-0.163896,-0.003189,-3.549069,-0.710979,22.012670,0.763403,2.627074,0.000002
0.011000,0.306896,0.000036,0.486881,0.326855,0.000042,0.486848,0.019959,0.000007,-0.000033,0.008740,-0.000086,0.011095,1.821058,0.002399,-0.225222,0.000649,-3.535393,-0.706753,21.979192,0.766027,2.614292,0.000006
0.012000,0.306914,0.000034,0.486905,0.326855,0.000042,0.486848,0.019940,0.000009,-0.000057,0.012902,-0.000674,0.013859,1.735998,0.014372,-0.282923,0.004335,-3.530631,-0.702751,21.941273,0.768553,2.591496,0.000011
0.013000,0.306931,0.000029,0.486934,0.326855,0.000042,0.486848,0.019923,0.000014,-0.000086,0.013907,-0.003280,0.017448,1.714191,0.066987,-0.357527,0.020367,-3.510588,-0.685556,21.903193,0.779603,2.580501,0.000016
0.014000,0.306953,0.000026,0.486968,0.326855,0.000042,0.486848,0.019902,0.000016,-0.000120,0.016111,-0.002399,0.021530,1.667984,0.049586,-0.442620,0.015047,-3.491344,-0.691107,21.857174,0.775959,2.563475,0.000022
0.015000,0.306978,0.000023,0.487006,0.326855,0.000042,0.486848,0.019877,0.000019,-0.000158,0.018161,-0.001998,0.026266,1.624474,0.041904,-0.541104,0.012667,-3.468031,-0.693462,21.805167,0.774361,2.545815,0.000029
0.016000,0.307006,0.000024,0.487048,0.326855,0.000042,0.486848,0.019849,0.000018,-0.000200,0.021664,-0.000334,0.032493,1.551605,0.008517,-0.669850,0.002486,-3.440484,-0.704227,21.735272,0.767376,2.519295,0.000040
0.017000,0.307039,0.000022,0.487102,0.326855,0.000042,0.486848,0.019816,0.000021,-0.000254,0.025325,-0.000193,0.041518,1.475071,0.005931,-0.855795,0.001684,-3.396827,-0.704955,21.637839,0.766856,2.486891,0.000053
0.018000,0.307073,0.000018,0.487159,0.326855,0.000042,0.486848,0.019782,0.000024,-0.000311,0.028540,-0.001439,0.047159,1.407396,0.031221,-0.974291,0.009260,-3.371921,-0.696823,21.573254,0.772156,2.462356,0.000062
0.019000,0.307110,0.000013,0.487220,0.326855,0.000042,0.486848,0.019745,0.000029,-0.000372,0.030408,-0.001779,0.049551,1.366334,0.038531,-1.028259,0.011617,-3.361896,-0.694062,21.542293,0.773714,2.449200,0.000064
0.020000,0.307149,0.000009,0.487288,0.326855,0.000042,0.486848,0.019706,0.000033,-0.000440,0.033917,-0.002740,0.055165,1.292226,0.058115,-1.147262,0.017444,-3.338127,-0.687797,21.476521,0.777807,2.423261,0.000073
0.021000,0.307194,0.000005,0.487368,0.326855,0.000042,0.486848,0.019661,0.000037,-0.000520,0.036969,-0.003308,0.062710,1.226725,0.069852,-1.306186,0.020802,-3.301743,-0.684151,21.392845,0.780245,2.395513,0.000085
0.022000,0.307242,0.000002,0.487450,0.326855,0.000042,0.486848,0.019613,0.000040,-0.000602,0.039952,-0.002733,0.067345,1.162267,0.058691,-1.407079,0.017606,-3.282161,-0.687330,21.336613,0.777944,2.373222,0.000091
0.023000,0.307291,-0.000001,0.487540,0.326855,0.000042,0.486848,0.019564,0.000044,-0.000692,0.043342,-0.001423,0.074585,1.089585,0.032833,-1.560887,0.009754,-3.248700,-0.695513,21.254312,0.772550,2.344386,0.000107
0.024000,0.307342,-0.000007,0.487635,0.326855,0.000042,0.486848,0.019513,0.000049,-0.000787,0.046593,-0.002830,0.080868,1.019393,0.061508,-1.696055,0.018185,-3.220580,-0.686519,21.180956,0.778510,2.317731,0.000117
0.025000,0.307395,-0.000010,0.487741,0.326855,0.000042,0.486848,0.019460,0.000053,-0.000893,0.048296,-0.003217,0.088921,0.980059,0.069611,-1.867703,0.020441,-3.177254,-0.684098,21.093814,0.780167,2.294159,0.000125
0.026000,0.307450,-0.000015,0.487853,0.326855,0.000042,0.486848,0.019405,0.000057,-0.001005,0.049280,-0.002816,0.096307,0.954885,0.062039,-2.026681,0.018319,-3.136092,-0.686101,21.014547,0.778604,2.274653,0.000134
0.027000,0.307507,-0.000020,0.487974,0.326855,0.000042,0.486848,0.019347,0.000063,-0.001126,0.051876,-0.003371,0.103415,0.897214,0.073708,-2.180956,0.021936,-3.100959,-0.682134,20.933069,0.781031,2.248760,0.000140
0.028000,0.307566,-0.000025,0.488101,0.326855,0.000042,0.486848,0.019289,0.000067,-0.001253,0.053851,-0.004028,0.111561,0.851900,0.087311,-2.356487,0.025611,-3.059019,-0.678281,20.843301,0.783791,2.223415,0.000153
0.029000,0.307627,-0.000029,0.488236,0.326855,0.000042,0.486848,0.019227,0.000071,-0.001388,0.055741,-0.002844,0.119148,0.807910,0.063968,-2.521792,0.019307,-3.019694,-0.684559,20.758237,0.779003,2.199261,0.000161
0.030000,0.307690,-0.000031,0.488369,0.326855,0.000042,0.486848,0.019165,0.000074,-0.001521,0.058370,-0.002708,0.122496,0.749059,0.061556,-2.602051,0.018279,-3.005167,-0.685545,20.710873,0.778440,2.179893,0.000164
0.031000,0.307753,-0.000035,0.488514,0.326855,0.000042,0.486848,0.019101,0.000078,-0.001666,0.059778,-0.002115,0.129067,0.714580,0.050071,-2.747939,0.015374,-2.969801,-0.688283,20.635680,0.776095,2.159449,0.000167
0.032000,0.307820,-0.000039,0.488665,0.326855,0.000042,0.486848,0.019035,0.000082,-0.001817,0.062301,-0.001899,0.135600,0.657452,0.046162,-2.893702,0.014555,-2.937902,-0.688866,20.557467,0.775300,2.134265,0.000173
0.033000,0.307889,-0.000045,0.488819,0.326855,0.000042,0.486848,0.018966,0.000088,-0.001971,0.063698,-0.003082,0.140874,0.622627,0.070413,-3.014576,0.021457,-2.909844,-0.681629,20.493752,0.780265,2.116018,0.000176
0.034000,0.307958,-0.000048,0.488979,0.326855,0.000042,0.486848,0.018897,0.000090,-0.002131,0.066162,-0.002971,0.146785,0.566467,0.068448,-3.148802,0.020679,-2.881748,-0.682399,20.421295,0.779800,2.092054,0.000188
0.035000,0.308030,-0.000053,0.489143,0.326855,0.000042,0.486848,0.018825,0.000095,-0.002295,0.068887,-0.003774,0.152577,0.504720,0.085006,-3.281044,0.025310,-2.854694,-0.677481,20.348491,0.783162,2.067076,0.000195
0.036000,0.308104,-0.000056,0.489309,0.326855,0.000042,0.486848,0.018751,0.000099,-0.002461,0.071539,-0.002676,0.157156,0.444300,0.063396,-3.389211,0.019259,-2.833700,-0.683424,20.287002,0.778686,2.044630,0.000200
0.037000,0.308181,-0.000059,0.489487,0.326855,0.000042,0.486848,0.018674,0.000102,-0.002639,0.072813,-0.002013,0.163247,0.411156,0.050418,-3.528841,0.015813,-2.801337,-0.686727,20.214288,0.776008,2.024841,0.000206
0.038000,0.308261,-0.000061,0.489664,0.326855,0.000042,0.486848,0.018594,0.000103,-0.002816,0.075911,-0.002072,0.168405,0.341185,0.051782,-3.649693,0.016772,-2.778992,-0.685465,20.145422,0.776310,1.999150,0.000209
0.039000,0.308343,-0.000063,0.489850,0.326855,0.000042,0.486848,0.018512,0.000105,-0.003002,0.078346,-0.001656,0.174137,0.284311,0.043654,-3.782895,0.014685,-2.751280,-0.687378,20.071834,0.774607,1.974968,0.000213
0.040000,0.308427,-0.000066,0.490044,0.326855,0.000042,0.486848,0.018428,0.000109,-0.003196,0.080508,-0.002439,0.178906,0.232636,0.059641,-3.897736,0.018973,-2.727707,-0.682955,20.007470,0.777800,1.953602,0.000217
0.041000,0.308512,-0.000065,0.490234,0.326855,0.000042,0.486848,0.018343,0.000107,-0.003386,0.082604,-0.001944,0.181673,0.182202,0.049619,-3.972023,0.015672,-2.714760,-0.686304,19.962553,0.775627,1.936357,0.000222
0.042000,0.308603,-0.000066,0.490437,0.326855,0.000042,0.486848,0.018252,0.000109,-0.003589,0.085786,-0.001860,0.188988,0.109432,0.048096,-4.138639,0.015358,-2.681948,-0.686467,19.871270,0.775259,1.905594,0.000234
