time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306881,0.000231,0.486804,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000001,0.000002,-0.000004,0.000014,0.000002,0.000003,0.000422,0.000876,0.000320,0.000000,0.000000,0.000000,-0.005380,0.002171,0.003334,-0.008349,-0.017325,-0.006768,-0.008349,-0.017325,-0.006768,0.021571,-0.004340,-0.006658,0.021571,-0.004340,-0.006658,-0.011966,-0.003556,-0.025592,0.000070,0.017926,0.001995,0.006659,-0.011966,-0.003556,-0.025592,0.000070,0.017926,0.001995,0.006659
0.001000,0.306879,0.000232,0.486804,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000003,0.000001,-0.000004,0.000021,0.000002,-0.000000,-0.000478,0.000273,0.000169,0.000000,0.000000,0.000000,-0.004716,0.001578,-0.000086,0.009929,-0.005309,-0.003750,0.009929,-0.005309,-0.003750,0.018937,-0.003153,0.000172,0.018937,-0.003153,0.000172,-0.001459,-0.000470,-0.014999,0.002650,0.017817,0.004920,-0.000171,-0.001459,-0.000470,-0.014999,0.002650,0.017817,0.004920,-0.000171
0.002000,0.306879,0.000231,0.486804,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000003,0.000002,-0.000004,0.000023,0.000001,0.000004,-0.000588,-0.000272,-0.000046,0.000000,0.000000,0.000000,-0.003011,0.001595,-0.001261,0.012146,0.005674,0.000527,0.012146,0.005674,0.000527,0.012127,-0.003189,0.002536,0.012127,-0.003189,0.002536,0.004273,-0.001481,-0.004936,0.004995,0.013317,0.005796,-0.002535,0.004273,-0.001481,-0.004936,0.004995,0.013317,0.005796,-0.002535
0.003000,0.306877,0.000233,0.486801,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000005,-0.000000,-0.000001,0.000025,-0.000008,-0.000002,-0.000842,0.003985,-0.000665,0.000000,0.000000,0.000000,0.003542,0.002835,0.006842,0.017421,-0.079745,0.013257,0.017421,-0.079745,0.013257,-0.014080,-0.005686,-0.013690,-0.014080,-0.005686,-0.013690,-0.038172,-0.007111,-0.025713,0.014144,-0.030861,0.010499,0.013688,-0.038172,-0.007111,-0.025713,0.014144,-0.030861,0.010499,0.013688
0.004000,0.306875,0.000235,0.486798,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000007,-0.000002,0.000003,0.000024,-0.000015,0.000002,-0.001376,0.002690,-0.001332,0.000000,0.000000,0.000000,0.002466,0.004600,0.003452,0.028339,-0.054081,0.026922,0.028339,-0.054081,0.026922,-0.009779,-0.009231,-0.006895,-0.009779,-0.009231,-0.006895,-0.023507,-0.013150,-0.015598,0.025546,-0.021165,0.017551,0.006893,-0.023507,-0.013150,-0.015598,0.025546,-0.021165,0.017551,0.006893
0.005000,0.306876,0.000238,0.486796,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000006,-0.000005,0.000004,0.000024,-0.000013,-0.000003,0.000068,0.002474,-0.001277,0.000000,0.000000,0.000000,0.000556,-0.000104,0.003390,-0.000630,-0.050074,0.025944,-0.000630,-0.050074,0.025944,-0.002139,0.000182,-0.006791,-0.002139,0.000182,-0.006791,-0.022169,-0.007890,-0.019620,0.011959,-0.012674,0.001960,0.006791,-0.022169,-0.007890,-0.019620,0.011959,-0.012674,0.001960,0.006791
0.006000,0.306874,0.000242,0.486794,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000008,-0.000009,0.000006,0.000025,-0.000011,-0.000010,-0.000142,0.002214,-0.001528,0.000000,0.000000,0.000000,0.000085,-0.000164,0.003961,0.003781,-0.045407,0.031169,0.003781,-0.045407,0.031169,-0.000255,0.000307,-0.007959,-0.000255,0.000307,-0.007959,-0.021910,-0.008686,-0.020264,0.014864,-0.009809,0.003224,0.007959,-0.021910,-0.008686,-0.020264,0.014864,-0.009809,0.003224,0.007959
0.007000,0.306876,0.000243,0.486792,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000007,-0.000010,0.000009,0.000023,-0.000010,-0.000014,-0.000232,0.001283,-0.001077,0.000000,0.000000,0.000000,0.001225,-0.002099,0.002162,0.005421,-0.026874,0.022394,0.005421,-0.026874,0.022394,-0.004821,0.004179,-0.004372,-0.004821,0.004179,-0.004372,-0.012631,-0.001852,-0.008451,0.007067,-0.010473,-0.001073,0.004373,-0.012631,-0.001852,-0.008451,0.007067,-0.010473,-0.001073,0.004373
0.008000,0.306876,0.000244,0.486787,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000006,-0.000011,0.000013,0.000028,-0.000014,-0.000015,-0.000326,0.001910,-0.003007,0.000000,0.000000,0.000000,-0.002545,0.002807,0.003224,0.007279,-0.039534,0.061475,0.007279,-0.039534,0.061475,0.010278,-0.005643,-0.006501,0.010278,-0.005643,-0.006501,-0.018667,-0.023411,-0.024799,0.035561,0.001955,0.012580,0.006501,-0.018667,-0.023411,-0.024799,0.035561,0.001955,0.012580,0.006501
0.009000,0.306876,0.000242,0.486785,0.306882,0.000233,0.486800,0.306882,0.000233,0.486800,0.000007,-0.000009,0.000015,0.000033,-0.000015,-0.000015,-0.000248,0.000926,-0.002736,0.000000,0.000000,0.000000,-0.002315,0.003196,0.002069,0.005753,-0.019624,0.056210,0.005753,-0.019624,0.056210,0.009377,-0.006424,-0.004191,0.009377,-0.006424,-0.004191,-0.010232,-0.022808,-0.016021,0.033680,0.005244,0.012580,0.004191,-0.010232,-0.022808,-0.016021,0.033680,0.005244,0.012580,0.004191
