time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306831,-0.000153,0.486750,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000001,-0.000002,-0.000008,-0.000003,0.000018,0.000001,0.000570,-0.000151,0.005079,0.000000,0.000000,0.000000,0.000070,-0.010735,-0.004209,-0.011563,0.002816,-0.102378,-0.011563,0.002816,-0.102378,-0.000293,0.032259,0.012631,-0.000293,0.032259,0.012631,0.013522,0.061819,0.010102,-0.082079,0.000300,-0.043710,-0.012639,0.013522,0.061819,0.010102,-0.082079,0.000300,-0.043710,-0.012639
0.001000,0.306833,-0.000155,0.486757,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000003,-0.000001,-0.000015,-0.000009,0.000034,0.000006,0.001181,-0.000395,0.006315,0.000000,0.000000,0.000000,0.001384,-0.013473,-0.003906,-0.023959,0.007854,-0.127781,-0.023959,0.007854,-0.127781,-0.005571,0.040521,0.011741,-0.005571,0.040521,0.011741,0.014168,0.075915,0.014824,-0.103910,-0.003920,-0.056822,-0.011751,0.014168,0.075915,0.014824,-0.103910,-0.003920,-0.056822,-0.011751
0.002000,0.306833,-0.000154,0.486759,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000004,-0.000001,-0.000017,-0.000011,0.000036,0.000001,0.001163,0.000379,0.005240,0.000000,0.000000,0.000000,0.001911,-0.010105,-0.001485,-0.023703,-0.007650,-0.106486,-0.023703,-0.007650,-0.106486,-0.007690,0.030423,0.004460,-0.007690,0.030423,0.004460,0.002123,0.059366,0.006107,-0.083722,-0.009299,-0.044790,-0.004468,0.002123,0.059366,0.006107,-0.083722,-0.009299,-0.044790,-0.004468
0.003000,0.306834,-0.000153,0.486761,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000004,-0.000002,-0.000019,-0.000011,0.000040,-0.000002,0.000831,0.000117,0.003884,0.000000,0.000000,0.000000,-0.001397,-0.006492,-0.000755,-0.017113,-0.002545,-0.079570,-0.017113,-0.002545,-0.079570,0.005547,0.019595,0.002258,0.005547,0.019595,0.002258,0.001489,0.041337,-0.003144,-0.059350,0.005013,-0.030204,-0.002262,0.001489,0.041337,-0.003144,-0.059350,0.005013,-0.030204,-0.002262
0.004000,0.306833,-0.000152,0.486765,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000003,-0.000003,-0.000023,-0.000011,0.000050,-0.000011,0.000220,0.003087,0.004033,0.000000,0.000000,0.000000,-0.000467,-0.007589,0.007568,-0.004760,-0.062038,-0.082917,-0.004760,-0.062038,-0.082917,0.001824,0.022915,-0.022750,0.001824,0.022915,-0.022750,-0.041780,0.047527,-0.037600,-0.062658,-0.011223,-0.031233,0.022745,-0.041780,0.047527,-0.037600,-0.062658,-0.011223,-0.031233,0.022745
0.005000,0.306833,-0.000154,0.486763,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000003,-0.000001,-0.000021,-0.000012,0.000046,-0.000010,0.000782,0.001418,0.002966,0.000000,0.000000,0.000000,0.001124,-0.004776,0.004473,-0.016034,-0.028507,-0.061436,-0.016034,-0.028507,-0.061436,-0.004543,0.014466,-0.013459,-0.004543,0.014466,-0.013459,-0.022216,0.030832,-0.015605,-0.045514,-0.010538,-0.023253,0.013456,-0.022216,0.030832,-0.015605,-0.045514,-0.010538,-0.023253,0.013456
0.006000,0.306834,-0.000156,0.486768,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000004,0.000001,-0.000026,-0.000015,0.000065,-0.000008,0.000540,0.000599,0.004544,0.000000,0.000000,0.000000,0.000892,-0.010920,0.003640,-0.011288,-0.011879,-0.093488,-0.011288,-0.011879,-0.093488,-0.003625,0.032954,-0.010954,-0.003625,0.032954,-0.010954,-0.014619,0.059843,-0.009112,-0.078535,-0.006126,-0.043569,0.010946,-0.014619,0.059843,-0.009112,-0.078535,-0.006126,-0.043569,0.010946
0.007000,0.306833,-0.000157,0.486770,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000003,0.000002,-0.000028,-0.000011,0.000075,-0.000007,-0.000225,-0.000554,0.004227,0.000000,0.000000,0.000000,0.000732,-0.012242,0.000886,0.004125,0.011274,-0.087303,0.004125,0.011274,-0.087303,-0.002972,0.036951,-0.002687,-0.002972,0.036951,-0.002687,0.000750,0.064336,0.003796,-0.077674,-0.000607,-0.043780,0.002678,0.000750,0.064336,0.003796,-0.077674,-0.000607,-0.043780,0.002678
0.008000,0.306832,-0.000157,0.486773,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000003,0.000002,-0.000031,-0.000011,0.000088,-0.000011,-0.000603,-0.001106,0.004159,0.000000,0.000000,0.000000,0.002203,-0.013263,0.000387,0.011726,0.022334,-0.086323,0.011726,0.022334,-0.086323,-0.008856,0.040053,-0.001205,-0.008856,0.040053,-0.001205,0.005626,0.068320,0.012605,-0.079370,-0.004165,-0.045199,0.001195,0.005626,0.068320,0.012605,-0.079370,-0.004165,-0.045199,0.001195
0.009000,0.306831,-0.000157,0.486774,0.306830,-0.000155,0.486742,0.306830,-0.000155,0.486742,-0.000002,0.000002,-0.000032,-0.000010,0.000096,-0.000007,-0.001059,-0.001778,0.002869,0.000000,0.000000,0.000000,-0.002512,-0.011148,-0.001666,0.021005,0.035773,-0.060594,0.021005,0.035773,-0.060594,0.010009,0.033730,0.004970,0.010009,0.033730,0.004970,0.015941,0.055566,0.008041,-0.059721,0.017529,-0.034657,-0.004977,0.015941,0.055566,0.008041,-0.059721,0.017529,-0.034657,-0.004977
