time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306772,-0.000083,0.486789,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000005,0.000002,0.000004,0.000012,-0.000011,-0.000003,0.002063,0.000139,-0.001204,0.000000,0.000000,0.000000,-0.001427,0.004799,0.000641,-0.042214,-0.002622,0.024485,0.005030,-0.016829,-0.002254,-0.003059,-0.030799,-0.005985,0.022925,0.004479,0.010093,0.002252,-0.003059,-0.030799,-0.005985,0.022925,0.004479,0.010093,0.002252
0.001000,0.306773,-0.000083,0.486789,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000006,0.000001,0.000004,0.000022,-0.000007,-0.000009,0.001635,0.000540,-0.000564,0.000000,0.000000,0.000000,-0.004495,-0.001184,0.003016,-0.033904,-0.010723,0.011670,0.015801,0.004122,-0.010581,-0.013864,-0.004677,-0.022123,-0.002963,0.013545,-0.010234,0.010577,-0.013864,-0.004677,-0.022123,-0.002963,0.013545,-0.010234,0.010577
0.002000,0.306775,-0.000083,0.486787,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000008,0.000001,0.000006,0.000036,-0.000006,-0.000013,0.001494,0.000498,-0.001025,0.000000,0.000000,0.000000,-0.006391,-0.000834,0.003645,-0.031406,-0.009834,0.021067,0.022476,0.002901,-0.012796,-0.015806,-0.008408,-0.028126,0.003014,0.020408,-0.007662,0.012789,-0.015806,-0.008408,-0.028126,0.003014,0.020408,-0.007662,0.012789
0.003000,0.306776,-0.000082,0.486785,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000008,-0.000000,0.000008,0.000049,-0.000006,-0.000025,0.001144,0.000202,-0.000755,0.000000,0.000000,0.000000,-0.011503,-0.003377,0.006942,-0.024548,-0.004064,0.015874,0.040409,0.011801,-0.024374,-0.025612,0.003122,-0.047121,-0.007446,0.039556,-0.015576,0.024362,-0.025612,0.003122,-0.047121,-0.007446,0.039556,-0.015576,0.024362
0.004000,0.306774,-0.000083,0.486783,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000006,0.000001,0.000010,0.000051,-0.000010,-0.000019,0.000232,-0.000082,-0.000257,0.000000,0.000000,0.000000,-0.008551,-0.005093,0.002546,-0.005918,0.001700,0.006113,0.030082,0.017797,-0.008966,-0.008444,0.015003,-0.027070,-0.015671,0.030438,-0.018508,0.008958,-0.008444,0.015003,-0.027070,-0.015671,0.030438,-0.018508,0.008958
0.005000,0.306771,-0.000083,0.486781,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000004,0.000001,0.000012,0.000056,-0.000010,-0.000020,-0.000688,-0.000083,-0.000088,0.000000,0.000000,0.000000,-0.007731,-0.005677,0.001978,0.013023,0.001737,0.002944,0.027227,0.019838,-0.006980,-0.006454,0.020953,-0.023643,-0.016808,0.027588,-0.016843,0.006973,-0.006454,0.020953,-0.023643,-0.016808,0.027588,-0.016843,0.006973
0.006000,0.306768,-0.000083,0.486775,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,-0.000001,0.000001,0.000017,0.000056,-0.000024,-0.000023,-0.001157,-0.000268,-0.001454,0.000000,0.000000,0.000000,-0.006256,-0.000694,0.002360,0.022906,0.005433,0.030813,0.022064,0.002358,-0.008328,-0.006667,-0.003560,-0.019736,0.015096,0.023207,0.005168,0.008321,-0.006667,-0.003560,-0.019736,0.015096,0.023207,0.005168,0.008321
0.007000,0.306765,-0.000084,0.486768,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,0.000002,0.000002,0.000024,0.000053,-0.000041,-0.000021,-0.001953,-0.000709,-0.003916,0.000000,0.000000,0.000000,-0.003672,0.006982,0.001265,0.039548,0.014387,0.080730,0.013012,-0.024562,-0.004493,-0.000078,-0.043271,-0.007691,0.067711,0.016044,0.039976,0.004488,-0.000078,-0.043271,-0.007691,0.067711,0.016044,0.039976,0.004488
0.008000,0.306762,-0.000084,0.486769,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,0.000005,0.000003,0.000024,0.000051,-0.000036,-0.000014,-0.002031,-0.000687,-0.003653,0.000000,0.000000,0.000000,-0.001895,0.005830,-0.001729,0.041627,0.013995,0.075436,0.006783,-0.020512,0.006012,0.010307,-0.037263,0.004020,0.061423,0.009731,0.035899,-0.006014,0.010307,-0.037263,0.004020,0.061423,0.009731,0.035899,-0.006014
0.009000,0.306759,-0.000085,0.486764,0.306767,-0.000082,0.486793,0.306767,-0.000082,0.486793,0.000008,0.000003,0.000029,0.000039,-0.000041,-0.000009,-0.002668,-0.000595,-0.004239,0.000000,0.000000,0.000000,0.002314,0.005551,-0.002851,0.055013,0.012196,0.087652,-0.007981,-0.019553,0.009951,0.013707,-0.037979,0.016691,0.067923,-0.005409,0.038832,-0.009949,0.013707,-0.037979,0.016691,0.067923,-0.005409,0.038832,-0.009949
