time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_before_deadzone_x,f_before_deadzone_y,f_before_deadzone_z,f_x,f_y,f_z,m_before_deadzone_x,m_before_deadzone_y,m_before_deadzone_z,m_x,m_y,m_z,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,tau_raw_6,tau_raw_7,tau_limited_1,tau_limited_2,tau_limited_3,tau_limited_4,tau_limited_5,tau_limited_6,tau_limited_7
0.000000,0.306812,0.000227,0.486700,0.306812,0.000227,0.486700,0.306812,0.000228,0.486690,-0.000000,0.000000,0.000000,0.000005,0.000025,-0.000002,0.000178,-0.000255,0.004896,0.000000,0.000000,0.000000,-0.000908,-0.012050,0.001603,-0.010734,0.002040,-0.039168,-0.010734,0.002040,-0.039168,0.003653,0.036226,-0.004817,0.003653,0.036226,-0.004817,-0.004196,0.046511,-0.005348,-0.056103,0.004093,-0.041939,0.004827,-0.004196,0.046511,-0.005348,-0.056103,0.004093,-0.041939,0.004827
0.001000,0.306812,0.000226,0.486705,0.306812,0.000226,0.486705,0.306812,0.000228,0.486690,-0.000000,0.000000,0.000000,0.000010,0.000040,-0.000000,-0.000405,0.000087,0.005032,0.000000,0.000000,0.000000,-0.001658,-0.013257,0.002051,0.024108,-0.000700,-0.040260,0.024108,-0.000700,-0.040260,0.006670,0.039891,-0.006155,0.006670,0.039891,-0.006155,-0.006380,0.055864,-0.009325,-0.055843,0.006532,-0.038372,0.006166,-0.006380,0.055864,-0.009325,-0.055843,0.006532,-0.038372,0.006166
0.002000,0.306812,0.000225,0.486712,0.306812,0.000225,0.486712,0.306812,0.000228,0.486690,-0.000000,0.000000,0.000000,0.000012,0.000056,-0.000004,-0.000609,-0.000035,0.003019,0.000000,0.000000,0.000000,-0.002675,-0.009042,0.003489,0.036354,0.000281,-0.024149,0.036354,0.000281,-0.024149,0.010748,0.027293,-0.010483,0.010748,0.027293,-0.010483,-0.010409,0.040265,-0.014947,-0.034061,0.010814,-0.021768,0.010489,-0.010409,0.040265,-0.014947,-0.034061,0.010814,-0.021768,0.010489
0.003000,0.306813,0.000226,0.486716,0.306812,0.000226,0.486716,0.306812,0.000228,0.486690,-0.000002,0.000000,0.000000,0.000008,0.000064,0.000003,-0.000027,-0.000620,0.002859,0.000000,0.000000,0.000000,-0.002292,-0.007046,0.000227,0.000820,0.004963,-0.022874,0.000820,0.004963,-0.022874,0.009201,0.021331,-0.000669,0.009201,0.021331,-0.000669,0.000853,0.028445,-0.005366,-0.032025,0.010251,-0.023171,0.000674,0.000853,0.028445,-0.005366,-0.032025,0.010251,-0.023171,0.000674
0.004000,0.306813,0.000226,0.486721,0.306812,0.000226,0.486721,0.306812,0.000228,0.486690,-0.000001,0.000000,0.000000,0.000006,0.000079,0.000005,-0.000027,-0.001374,0.003365,0.000000,0.000000,0.000000,-0.001894,-0.008643,-0.001768,0.001048,0.010991,-0.026918,0.001048,0.010991,-0.026918,0.007602,0.026163,0.005324,0.007602,0.026163,0.005324,0.008694,0.034540,0.001964,-0.038741,0.009920,-0.028316,-0.005317,0.008694,0.034540,0.001964,-0.038741,0.009920,-0.028316,-0.005317
0.005000,0.306813,0.000228,0.486725,0.306812,0.000228,0.486725,0.306812,0.000228,0.486690,-0.000001,0.000000,0.000000,0.000001,0.000095,0.000004,-0.000425,-0.000268,0.003664,0.000000,0.000000,0.000000,0.004285,-0.010491,-0.002503,0.024965,0.002140,-0.029313,0.024965,0.002140,-0.029313,-0.017138,0.031757,0.007524,-0.017138,0.031757,0.007524,0.008175,0.044545,0.018138,-0.042428,-0.016683,-0.029101,-0.007512,0.008175,0.044545,0.018138,-0.042428,-0.016683,-0.029101,-0.007512
0.006000,0.306813,0.000230,0.486728,0.306812,0.000230,0.486728,0.306812,0.000228,0.486690,-0.000001,0.000000,0.000000,-0.000002,0.000107,0.000004,-0.000131,-0.000535,0.004957,0.000000,0.000000,0.000000,0.004341,-0.014726,-0.003787,0.007381,0.004279,-0.039657,0.007381,0.004279,-0.039657,-0.017371,0.044499,0.011377,-0.017371,0.044499,0.011377,0.012689,0.057716,0.021735,-0.062312,-0.016462,-0.046461,-0.011361,0.012689,0.057716,0.021735,-0.062312,-0.016462,-0.046461,-0.011361
0.007000,0.306812,0.000228,0.486732,0.306812,0.000228,0.486732,0.306812,0.000228,0.486690,-0.000001,0.000000,0.000000,-0.000001,0.000129,0.000007,0.000429,-0.000792,0.005563,0.000000,0.000000,0.000000,0.004065,-0.021736,-0.003965,-0.026105,0.006338,-0.044502,-0.026105,0.006338,-0.044502,-0.016265,0.065593,0.011923,-0.016265,0.065593,0.011923,0.013874,0.075133,0.022029,-0.089997,-0.014914,-0.075032,-0.011901,0.013874,0.075133,0.022029,-0.089997,-0.014914,-0.075032,-0.011901
0.008000,0.306813,0.000229,0.486738,0.306812,0.000229,0.486738,0.306812,0.000228,0.486690,-0.000001,0.000000,0.000000,0.000000,0.000149,0.000002,0.000068,-0.000450,0.005572,0.000000,0.000000,0.000000,0.002805,-0.021297,-0.001881,-0.004442,0.003604,-0.044578,-0.004442,0.003604,-0.044578,-0.011219,0.064339,0.005649,-0.011219,0.064339,0.005649,0.006761,0.077245,0.013137,-0.086020,-0.010443,-0.069224,-0.005628,0.006761,0.077245,0.013137,-0.086020,-0.010443,-0.069224,-0.005628
0.009000,0.306811,0.000230,0.486744,0.306812,0.000230,0.486744,0.306812,0.000228,0.486690,0.000001,0.000000,0.000000,0.000001,0.000169,-0.000001,-0.000607,-0.000292,0.005210,0.000000,0.000000,0.000000,0.000783,-0.019798,-0.000632,0.036868,0.002334,-0.041677,0.036868,0.002334,-0.041677,-0.003127,0.059902,0.001890,-0.003127,0.059902,0.001890,0.002603,0.078301,0.004331,-0.074951,-0.002623,-0.055836,-0.001872,0.002603,0.078301,0.004331,-0.074951,-0.002623,-0.055836,-0.001872
